acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,kf_roll,kf_pitch,Xk0,Xk1,Pk0,Pk1,Q0,R0
283,-281,-4074,-91,-3,-11,7.357,-3.875,0.065567,-0.065887,0.047619,0.047721,1e-05,0.05
283,-281,-4074,-79,2,-11,7.439,-3.968,0.067005,-0.067501,0.024393,0.024447,1e-05,0.05
273,-293,-4087,-71,8,-10,7.513,-3.95,0.068301,-0.067203,0.016399,0.016433,1e-05,0.05
419,-101,-4568,-1423,-404,-486,8.385,-4.491,0.083516,-0.076644,0.001403,0.001699,1e-05,0.05
-75,2054,-2136,-835,149,-200,0.781,-3.765,-0.049199,-0.06396,0.001173,0.001519,1e-05,0.05
822,-2675,-5284,388,289,-460,2.611,-3.634,-0.017264,-0.061675,0.00103,0.001442,1e-05,0.05
856,-472,-5299,-1188,266,-452,-4.609,-2.782,-0.14328,-0.046814,0.000928,0.001392,1e-05,0.05
660,2274,-3047,-22,378,56,-6.002,-3.268,-0.167591,-0.055297,0.000866,0.001249,1e-05,0.05
103,-657,-4142,425,-137,93,-3.923,-2.701,-0.131297,-0.04539,0.000826,0.001112,1e-05,0.05
520,-896,-4057,1344,211,-291,1.159,-3.255,-0.042607,-0.055071,0.000791,0.001024,1e-05,0.05
53,1974,-5378,1438,-778,46,1.326,-3.53,-0.039688,-0.059862,0.00077,0.000996,1e-05,0.05
162,-2521,-4765,-712,559,-118,2.05,-4.339,-0.027045,-0.073985,0.000751,0.000937,1e-05,0.05
299,3016,-2989,1931,-504,168,0.709,-3.813,-0.050456,-0.064806,0.00074,0.000932,1e-05,0.05
-38,-3332,-1779,-177,45,258,7.343,-3.985,0.065334,-0.0678,0.00073,0.000966,1e-05,0.05
480,5676,-4865,872,-714,86,4.963,-4.082,0.023796,-0.069499,0.000723,0.000941,1e-05,0.05
29,-3040,-3814,-978,0,23,5.292,-4.018,0.029536,-0.06838,0.000718,0.000874,1e-05,0.05
45,303,-3053,721,-8,-167,5.97,-3.888,0.041372,-0.066107,0.000714,0.000856,1e-05,0.05
499,-121,-5707,134,251,136,5.015,-4.35,0.024699,-0.074169,0.000711,0.000853,1e-05,0.05
-100,-1679,-4210,-1213,741,-392,3.488,-4.552,-0.001946,-0.077704,0.000709,0.000856,1e-05,0.05
280,2968,-2968,2093,-973,-234,-0.316,-3.863,-0.068343,-0.065672,0.000707,0.000886,1e-05,0.05
-571,-5116,317,1628,531,-100,-1.802,-3.821,-0.09429,-0.064944,0.000706,0.000915,1e-05,0.05
