acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,kf_roll,kf_pitch,Xk0,Xk1,Pk0,Pk1,Q0,R0
285,549,-4070,30,-4,-1,-3.891,-3.972,-0.130742,-0.067586,0.024393,0.024395,1e-05,0.05
284,546,-4062,34,4,-5,-3.939,-4.003,-0.131586,-0.068123,0.016399,0.016403,1e-05,0.05
259,539,-4070,217,-45,-25,-3.743,-3.852,-0.128162,-0.06548,0.001403,0.001406,1e-05,0.05
256,126,-4166,199,79,-8,-2.424,-3.845,-0.105144,-0.065361,0.001156,0.001158,1e-05,0.05
256,331,-4282,-21,-41,2,-1.961,-3.763,-0.097064,-0.063925,0.001019,0.001021,1e-05,0.05
293,659,-3945,180,18,-69,-2.108,-3.974,-0.099628,-0.067616,0.000928,0.000939,1e-05,0.05
213,352,-4174,17,-26,-13,-1.78,-3.855,-0.0939,-0.065531,0.000871,0.000881,1e-05,0.05
291,425,-4054,36,-12,-9,-1.897,-3.899,-0.095936,-0.066305,0.000822,0.000829,1e-05,0.05
219,410,-4069,80,6,26,-1.795,-3.798,-0.094166,-0.064539,0.000791,0.000796,1e-05,0.05
290,388,-4095,22,8,29,-1.696,-3.794,-0.092437,-0.064479,0.000768,0.000774,1e-05,0.05
267,442,-4082,53,-15,37,-1.747,-3.805,-0.093316,-0.064669,0.000751,0.000758,1e-05,0.05
264,435,-4091,90,-24,56,-1.674,-3.735,-0.092044,-0.063451,0.000739,0.000748,1e-05,0.05
268,411,-4087,95,7,11,-1.519,-3.741,-0.089335,-0.06354,0.00073,0.000738,1e-05,0.05
270,332,-4143,15,-6,17,-1.375,-3.721,-0.086835,-0.063204,0.000723,0.000729,1e-05,0.05
279,359,-4076,28,14,-13,-1.337,-3.779,-0.086168,-0.064205,0.000718,0.000723,1e-05,0.05
254,305,-4123,-7,-11,-4,-1.265,-3.755,-0.084916,-0.063788,0.000714,0.000718,1e-05,0.05
283,337,-4089,-19,-3,-11,-1.267,-3.762,-0.084943,-0.063916,0.000711,0.000714,1e-05,0.05
263,360,-4100,-10,-1,-36,-1.299,-3.787,-0.085508,-0.064357,0.000709,0.000713,1e-05,0.05
