acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,kf_roll,kf_pitch,Xk0,Xk1,Pk0,Pk1,Q0,R0
225,693,-4056,-3,-5,4,-5.86,-3.153,-0.165105,-0.053281,0.024393,0.024411,1e-05,0.05
245,721,-4061,2,-6,5,-6.059,-3.265,-0.168578,-0.055246,0.016399,0.01641,1e-05,0.05
418,1154,-2092,1753,-339,223,-6.55,-3.453,-0.177148,-0.058522,0.001374,0.001633,1e-05,0.05
279,-1026,-4137,1124,430,-213,-1.812,-3.682,-0.094453,-0.062521,0.001156,0.001486,1e-05,0.05
178,1422,-3778,1490,80,-417,-0.282,-3.84,-0.067752,-0.065267,0.001019,0.001474,1e-05,0.05
351,-210,-4771,97,67,-303,0.125,-3.929,-0.060649,-0.066832,0.000928,0.001429,1e-05,0.05
162,-158,-4441,-107,-16,23,0.227,-3.629,-0.058868,-0.061599,0.000866,0.001236,1e-05,0.05
164,167,-3552,128,13,90,0.718,-3.384,-0.050307,-0.057322,0.000826,0.001113,1e-05,0.05
301,5,-4072,57,-14,80,1.244,-3.507,-0.041114,-0.059464,0.000791,0.001005,1e-05,0.05
182,42,-4091,81,24,109,1.565,-3.486,-0.035514,-0.059101,0.00077,0.000946,1e-05,0.05
327,99,-4121,162,34,70,2.07,-3.431,-0.026703,-0.058141,0.000751,0.000905,1e-05,0.05
256,62,-4180,-100,-63,122,2.083,-3.407,-0.026479,-0.057719,0.000739,0.000886,1e-05,0.05
175,144,-3924,-224,28,115,1.688,-3.378,-0.033365,-0.057204,0.00073,0.000869,1e-05,0.05
315,149,-4255,-117,25,34,1.228,-3.432,-0.041406,-0.058148,0.000723,0.000829,1e-05,0.05
360,41,-4082,-112,-60,118,1.145,-3.424,-0.042845,-0.058021,0.000718,0.000808,1e-05,0.05
173,-5,-4101,37,40,227,1.359,-3.377,-0.039115,-0.057186,0.000714,0.000831,1e-05,0.05
212,94,-4047,-4,15,93,1.611,-3.197,-0.034715,-0.054052,0.000711,0.000834,1e-05,0.05
338,225,-4297,-73,29,24,1.421,-3.314,-0.038033,-0.056101,0.000709,0.000808,1e-05,0.05
206,120,-4174,-225,16,-11,1.069,-3.436,-0.044169,-0.058219,0.000707,0.000779,1e-05,0.05
240,156,-3947,-193,15,-38,0.638,-3.307,-0.051697,-0.055981,0.000706,0.00076,1e-05,0.05
306,177,-4025,-198,16,-48,0.338,-3.527,-0.05693,-0.059812,0.000705,0.000752,1e-05,0.05
189,165,-4242,-149,-18,-17,0.057,-3.507,-0.061843,-0.059459,0.000704,0.000743,1e-05,0.05
259,148,-4150,-74,7,-36,0.029,-3.432,-0.062326,-0.058147,0.000704,0.000735,1e-05,0.05
273,182,-4120,-48,-1,-51,0.113,-3.55,-0.060853,-0.060209,0.000703,0.000729,1e-05,0.05
202,178,-4108,-83,-3,-32,0.115,-3.476,-0.060819,-0.058914,0.000703,0.000725,1e-05,0.05
252,226,-4127,-169,-2,-28,-0.089,-3.504,-0.064377,-0.059403,0.000703,0.000721,1e-05,0.05
250,239,-4090,-244,-14,17,-0.572,-3.463,-0.072817,-0.058701,0.000703,0.000717,1e-05,0.05
247,280,-4080,-224,-9,-20,-1.058,-3.502,-0.081292,-0.059376,0.000703,0.000714,1e-05,0.05
204,333,-4105,-159,30,-82,-1.41,-3.522,-0.087449,-0.059725,0.000702,0.000714,1e-05,0.05
366,295,-4222,-158,14,-194,-1.7,-3.632,-0.092505,-0.061646,0.000702,0.000743,1e-05,0.05
241,296,-3935,-64,14,-197,-1.813,-3.758,-0.094468,-0.063846,0.000702,0.000769,1e-05,0.05
248,346,-4203,-74,20,-327,-1.777,-3.835,-0.093847,-0.065192,0.000702,0.00081,1e-05,0.05
194,317,-3872,-20,63,-259,-1.753,-3.978,-0.093427,-0.06768,0.000702,0.000862,1e-05,0.05
187,355,-3845,-43,57,-277,-1.678,-4.063,-0.092115,-0.069159,0.000702,0.00089,1e-05,0.05
282,477,-4234,-173,-42,-423,-1.907,-4.184,-0.096111,-0.071277,0.000702,0.000944,1e-05,0.05
267,511,-4098,-74,21,-469,-2.21,-4.345,-0.101403,-0.074089,0.000702,0.000994,1e-05,0.05
122,452,-4198,90,6,-515,-2.209,-4.576,-0.101383,-0.078114,0.000702,0.001064,1e-05,0.05
216,421,-4188,12,57,-500,-1.975,-4.715,-0.097296,-0.080542,0.000702,0.001118,1e-05,0.05
203,502,-4070,58,90,-462,-2.033,-4.932,-0.09832,-0.084327,0.000702,0.001171,1e-05,0.05
41,244,-4013,146,46,-246,-1.65,-4.9,-0.091629,-0.083767,0.000702,0.001175,1e-05,0.05
315,475,-3934,-36,-22,-174,-1.539,-4.624,-0.089701,-0.078966,0.000702,0.001118,1e-05,0.05
220,538,-3905,0,59,-110,-1.745,-4.583,-0.093282,-0.078238,0.000702,0.001038,1e-05,0.05
324,523,-4384,29,-57,-141,-1.926,-4.285,-0.09645,-0.073041,0.000702,0.000988,1e-05,0.05
266,407,-3927,-6,-55,-58,-1.935,-4.197,-0.096605,-0.071514,0.000702,0.000931,1e-05,0.05
216,675,-4453,65,-20,-145,-2.084,-4.124,-0.099207,-0.07023,0.000702,0.000899,1e-05,0.05
161,422,-4057,86,-3,-111,-1.881,-3.934,-0.095666,-0.066916,0.000702,0.000871,1e-05,0.05
310,552,-3965,73,32,-191,-1.985,-4.079,-0.097471,-0.069442,0.000702,0.000856,1e-05,0.05
199,508,-4126,62,5,-196,-2.089,-3.989,-0.099295,-0.067871,0.000702,0.000844,1e-05,0.05
242,460,-3858,220,22,-236,-1.887,-4.065,-0.095762,-0.069208,0.000702,0.000863,1e-05,0.05
164,419,-4117,217,20,-238,-1.404,-3.992,-0.087335,-0.067928,0.000702,0.000889,1e-05,0.05
195,502,-4261,197,18,-245,-1.149,-4.043,-0.082892,-0.068813,0.000702,0.000918,1e-05,0.05
226,401,-3971,231,38,-230,-0.773,-4.112,-0.076328,-0.070028,0.000702,0.000928,1e-05,0.05
162,454,-4125,148,-6,-194,-0.568,-4.047,-0.072744,-0.068894,0.000702,0.000935,1e-05,0.05
191,389,-4115,8,11,-55,-0.518,-3.881,-0.07188,-0.065997,0.000702,0.000895,1e-05,0.05
213,466,-4115,34,8,46,-0.74,-3.79,-0.075746,-0.064407,0.000702,0.000844,1e-05,0.05
176,382,-4062,110,18,83,-0.76,-3.596,-0.07609,-0.061019,0.000702,0.000819,1e-05,0.05
228,360,-4088,71,-14,65,-0.629,-3.568,-0.073809,-0.060526,0.000702,0.000802,1e-05,0.05
243,422,-3991,117,-16,55,-0.612,-3.579,-0.073513,-0.060725,0.000702,0.000782,1e-05,0.05
245,333,-3993,184,-38,14,-0.467,-3.528,-0.070984,-0.059834,0.000702,0.000764,1e-05,0.05
132,356,-4038,193,4,-41,-0.177,-3.274,-0.065927,-0.055401,0.000702,0.000751,1e-05,0.05
253,338,-4269,179,54,-61,0.211,-3.326,-0.059142,-0.056296,0.000702,0.000746,1e-05,0.05
273,305,-4190,66,17,62,0.398,-3.498,-0.055889,-0.059302,0.000702,0.000737,1e-05,0.05
159,297,-4189,68,-39,105,0.382,-3.378,-0.056169,-0.057211,0.000702,0.000744,1e-05,0.05
304,287,-3853,69,-15,73,0.42,-3.368,-0.055496,-0.057044,0.000702,0.000745,1e-05,0.05
212,186,-4008,144,10,71,0.648,-3.456,-0.051525,-0.058581,0.000702,0.00074,1e-05,0.05
196,148,-3931,189,27,90,1.084,-3.292,-0.043918,-0.055717,0.000702,0.000744,1e-05,0.05
279,137,-4109,159,-14,133,1.541,-3.314,-0.035937,-0.0561,0.000702,0.00075,1e-05,0.05
251,130,-4347,60,-44,130,1.855,-3.334,-0.030464,-0.056452,0.000702,0.000755,1e-05,0.05
88,118,-3797,-4,15,187,1.866,-3.234,-0.03027,-0.054692,0.000702,0.000776,1e-05,0.05
149,77,-4173,-73,53,219,1.694,-3.125,-0.033269,-0.052799,0.000702,0.000802,1e-05,0.05
397,68,-4151,21,3,245,1.728,-3.142,-0.032676,-0.053093,0.000702,0.000838,1e-05,0.05
205,90,-4115,-28,-22,231,1.855,-3.177,-0.030449,-0.053705,0.000702,0.000864,1e-05,0.05
136,81,-4072,-81,-62,252,1.625,-3.022,-0.034475,-0.050996,0.000702,0.000878,1e-05,0.05
148,21,-3919,-44,23,380,1.644,-2.94,-0.034147,-0.049571,0.000702,0.000926,1e-05,0.05
250,46,-4112,-71,42,332,1.702,-2.976,-0.033132,-0.050202,0.000702,0.000972,1e-05,0.05
316,41,-4082,-75,-31,336,1.659,-2.947,-0.033885,-0.049685,0.000702,0.001006,1e-05,0.05
149,32,-4123,-79,-34,291,1.642,-2.903,-0.034167,-0.048925,0.000702,0.001032,1e-05,0.05
210,51,-4239,-80,5,265,1.621,-2.833,-0.034536,-0.047691,0.000702,0.00105,1e-05,0.05
263,14,-3952,-155,-31,350,1.474,-2.801,-0.037105,-0.047138,0.000702,0.001072,1e-05,0.05
223,89,-4034,-202,8,281,1.272,-2.77,-0.04063,-0.046597,0.000702,0.001093,1e-05,0.05
295,80,-4193,-188,-10,123,0.964,-2.887,-0.046014,-0.048636,0.000702,0.001062,1e-05,0.05
237,52,-4040,-173,-2,15,0.776,-3.011,-0.049287,-0.050814,0.000702,0.000975,1e-05,0.05
235,50,-4138,-95,6,-27,0.688,-3.08,-0.050825,-0.052007,0.000702,0.000899,1e-05,0.05
215,24,-4088,-5,1,1,0.959,-3.175,-0.046098,-0.053669,0.000702,0.000842,1e-05,0.05
