acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,kf_roll,kf_pitch,Xk0,Xk1,Pk0,Pk1,Q0,R0
275,227,-4113,-11,-5,-21,1.169,-3.032,-0.042422,-0.051175,0.230769,0.232225,0.0,0.3
275,227,-4113,-11,-6,-21,0.851,-3.417,-0.047973,-0.057889,0.130435,0.131366,0.0,0.3
288,222,-4106,-11,-3,-16,0.745,-3.626,-0.049834,-0.061535,0.090909,0.091493,0.0,0.3
549,328,-3422,59,-152,26,0.154,-4.302,-0.060153,-0.073344,0.007448,0.008461,0.0,0.3
82,81,-3950,-2,-19,49,0.206,-4.439,-0.059232,-0.075736,0.00609,0.006808,0.0,0.3
353,259,-4140,47,-1,-27,0.143,-4.011,-0.060329,-0.068264,0.004981,0.00546,0.0,0.3
345,194,-4033,46,8,0,0.273,-4.175,-0.058066,-0.071116,0.004336,0.004696,0.0,0.3
237,257,-4089,68,-5,-4,0.418,-4.131,-0.055544,-0.070352,0.003744,0.00401,0.0,0.3
275,216,-4087,41,0,11,0.51,-4.093,-0.053937,-0.069684,0.003368,0.003582,0.0,0.3
268,189,-4109,22,-5,42,0.622,-4.069,-0.051977,-0.069266,0.003031,0.003209,0.0,0.3
285,216,-4104,35,-3,0,0.688,-4.037,-0.05083,-0.06872,0.002756,0.002907,0.0,0.3
304,210,-4097,78,3,-49,0.833,-4.067,-0.048295,-0.069244,0.002506,0.002636,0.0,0.3
264,186,-4133,72,5,-41,1.046,-4.052,-0.044577,-0.068973,0.002315,0.002435,0.0,0.3
276,162,-4114,50,0,4,1.209,-4.037,-0.041726,-0.06872,0.002152,0.002256,0.0,0.3
259,160,-4101,59,-1,34,1.343,-4.015,-0.039392,-0.068322,0.002011,0.002103,0.0,0.3
264,137,-4102,59,-2,73,1.519,-3.982,-0.036321,-0.067747,0.001887,0.001975,0.0,0.3
269,109,-4166,-105,-8,93,1.491,-3.959,-0.036813,-0.067347,0.001778,0.00187,0.0,0.3
291,230,-4072,-136,-9,99,1.194,-3.964,-0.041984,-0.067436,0.001691,0.001787,0.0,0.3
254,77,-4070,-67,-16,125,0.962,-3.912,-0.046045,-0.066524,0.001595,0.001699,0.0,0.3
283,137,-4082,-26,7,127,0.858,-3.888,-0.047865,-0.066115,0.001518,0.001629,0.0,0.3
308,153,-4175,30,-2,54,0.89,-3.879,-0.047298,-0.065962,0.001447,0.001557,0.0,0.3
353,175,-4118,28,-3,7,1.005,-3.892,-0.045283,-0.066192,0.001384,0.001484,0.0,0.3
270,188,-4221,-17,4,-29,1.036,-3.909,-0.044743,-0.066478,0.001325,0.001417,0.0,0.3
265,138,-4141,-52,0,-11,0.994,-3.924,-0.045475,-0.066746,0.001272,0.001357,0.0,0.3
335,122,-4172,-62,-11,14,0.905,-3.924,-0.04703,-0.066733,0.001228,0.001307,0.0,0.3
242,139,-4164,-51,3,4,0.795,-3.922,-0.048948,-0.066706,0.001178,0.00125,0.0,0.3
314,173,-4142,-82,-10,-11,0.657,-3.912,-0.051357,-0.066533,0.001137,0.001203,0.0,0.3
290,148,-4103,-78,10,-6,0.5,-3.933,-0.054103,-0.066891,0.001098,0.00116,0.0,0.3
275,197,-4130,-96,-4,-55,0.317,-3.931,-0.0573,-0.066859,0.001062,0.00112,0.0,0.3
307,203,-4083,-134,5,-92,0.068,-3.965,-0.061646,-0.067455,0.001029,0.001088,0.0,0.3
261,212,-4135,-213,3,-60,-0.319,-3.988,-0.068401,-0.067867,0.000997,0.001057,0.0,0.3
246,205,-4124,-251,-22,18,-0.881,-3.974,-0.078204,-0.067616,0.000968,0.001024,0.0,0.3
300,287,-4019,-123,-5,9,-1.338,-3.965,-0.086181,-0.067459,0.000941,0.000993,0.0,0.3
281,217,-4175,-112,25,-83,-1.493,-4.02,-0.088888,-0.068425,0.000915,0.000966,0.0,0.3
313,276,-4016,47,7,-105,-1.48,-4.064,-0.088658,-0.069185,0.000893,0.000946,0.0,0.3
269,325,-4110,13,39,-144,-1.455,-4.116,-0.088219,-0.070099,0.000868,0.000925,0.0,0.3
