acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,kf_roll,kf_pitch,Xk0,Xk1,Pk0,Pk1,Q0,R0
349,709,-4044,-58,0,9,-4.053,-3.836,-0.133563,-0.065208,0.230769,0.231037,0.0,0.3
349,709,-4044,-59,-2,7,-5.057,-4.324,-0.151095,-0.073721,0.130435,0.130572,0.0,0.3
346,713,-4054,-57,-4,9,-5.466,-4.499,-0.158236,-0.076777,0.090909,0.091018,0.0,0.3
1384,483,-4014,842,-406,425,-4.583,-4.365,-0.142822,-0.074431,0.007448,0.00915,0.0,0.3
-777,216,-4547,852,-351,111,-1.27,-5.234,-0.085,-0.089603,0.005969,0.007245,0.0,0.3
-340,768,-5190,377,-310,-265,-0.264,-2.49,-0.067442,-0.04172,0.005065,0.006145,0.0,0.3
308,516,-4132,76,412,-112,-0.832,-3.496,-0.077352,-0.05928,0.004336,0.005473,0.0,0.3
392,458,-4422,-219,234,-181,-1.234,-3.666,-0.084369,-0.062233,0.003791,0.004907,0.0,0.3
199,319,-3992,-9,-96,-40,-1.725,-3.532,-0.092931,-0.059905,0.003368,0.004249,0.0,0.3
354,344,-4032,-54,-52,46,-1.654,-3.599,-0.091703,-0.061075,0.003031,0.003731,0.0,0.3
170,450,-4179,-18,-95,66,-1.912,-3.464,-0.0962,-0.058712,0.002731,0.003321,0.0,0.3
222,468,-4035,100,74,-20,-1.875,-3.41,-0.095562,-0.057772,0.002526,0.003029,0.0,0.3
287,389,-3975,136,84,27,-1.567,-3.596,-0.090177,-0.06101,0.002333,0.002759,0.0,0.3
237,345,-4122,-87,10,183,-1.419,-3.474,-0.087593,-0.058879,0.002152,0.002551,0.0,0.3
275,505,-3987,-1,-32,187,-1.693,-3.359,-0.092379,-0.056888,0.002011,0.002437,0.0,0.3
294,416,-3998,75,3,123,-1.663,-3.378,-0.091863,-0.05721,0.001887,0.002317,0.0,0.3
319,401,-4380,-11,-12,-60,-1.65,-3.431,-0.091636,-0.058136,0.001789,0.002174,0.0,0.3
353,433,-3988,66,4,-169,-1.601,-3.586,-0.090777,-0.060837,0.001682,0.002043,0.0,0.3
162,288,-3833,63,20,-170,-1.386,-3.652,-0.087026,-0.061991,0.001595,0.001964,0.0,0.3
228,364,-4149,51,29,-119,-1.229,-3.686,-0.084289,-0.062589,0.001518,0.001888,0.0,0.3
302,342,-4197,-46,5,-76,-1.149,-3.779,-0.082892,-0.064211,0.001447,0.001796,0.0,0.3
277,488,-4313,-100,4,-132,-1.384,-3.799,-0.086987,-0.064567,0.001384,0.00171,0.0,0.3
277,380,-4152,16,42,-102,-1.594,-3.844,-0.090656,-0.065347,0.001325,0.001647,0.0,0.3
283,293,-3999,30,25,-68,-1.521,-3.897,-0.089383,-0.06627,0.001272,0.001573,0.0,0.3
233,371,-3946,-50,-14,-95,-1.537,-3.932,-0.089656,-0.066888,0.001228,0.001512,0.0,0.3
327,545,-4137,-2,19,-143,-1.643,-3.949,-0.091506,-0.067183,0.001183,0.001454,0.0,0.3
276,412,-4086,-17,34,-235,-1.671,-4.126,-0.091999,-0.070272,0.001137,0.001421,0.0,0.3
249,394,-4064,32,31,-181,-1.634,-4.215,-0.091345,-0.071822,0.001098,0.001383,0.0,0.3
319,497,-4032,-13,-18,-306,-1.614,-4.286,-0.091001,-0.073066,0.001066,0.001355,0.0,0.3
238,380,-4105,32,47,-259,-1.567,-4.45,-0.090189,-0.075924,0.001029,0.001335,0.0,0.3
200,447,-4187,55,39,-170,-1.503,-4.539,-0.089066,-0.077473,0.000997,0.001305,0.0,0.3
335,372,-4185,32,28,-171,-1.331,-4.596,-0.086057,-0.078469,0.000971,0.001275,0.0,0.3
262,502,-4015,-110,2,-165,-1.484,-4.682,-0.088732,-0.079977,0.000944,0.001242,0.0,0.3
235,429,-4083,11,12,-178,-1.564,-4.743,-0.090121,-0.081029,0.000915,0.001209,0.0,0.3
344,347,-4085,5,33,-142,-1.393,-4.824,-0.08714,-0.082456,0.000891,0.001178,0.0,0.3
232,510,-4033,-128,44,-193,-1.587,-4.886,-0.090537,-0.083538,0.00087,0.001153,0.0,0.3
265,459,-4108,107,27,-218,-1.543,-4.936,-0.089766,-0.084404,0.000849,0.001132,0.0,0.3
312,331,-4109,-19,11,-142,-1.422,-4.996,-0.087655,-0.085443,0.000826,0.001107,0.0,0.3
199,456,-4036,25,9,-133,-1.451,-5.061,-0.088153,-0.086586,0.000807,0.001083,0.0,0.3
258,411,-4195,16,25,-201,-1.366,-5.1,-0.086674,-0.087271,0.000791,0.001064,0.0,0.3
278,432,-4226,-14,32,-104,-1.36,-5.179,-0.086576,-0.088645,0.000772,0.001038,0.0,0.3
280,513,-4074,-64,17,-194,-1.411,-5.231,-0.087452,-0.089547,0.000757,0.001017,0.0,0.3
251,471,-4189,-26,17,-183,-1.548,-5.277,-0.089855,-0.090362,0.000741,0.000998,0.0,0.3
280,416,-4186,35,22,-235,-1.496,-5.4,-0.088939,-0.09251,0.000725,0.000981,0.0,0.3
249,426,-4105,-4,19,-226,-1.412,-5.483,-0.087467,-0.093942,0.000711,0.000968,0.0,0.3
223,454,-4135,27,34,-161,-1.411,-5.556,-0.087452,-0.095227,0.000697,0.000953,0.0,0.3
200,351,-4028,-37,40,-72,-1.387,-5.604,-0.087037,-0.096067,0.000684,0.000932,0.0,0.3
298,550,-4151,-47,25,-149,-1.565,-5.614,-0.090147,-0.096243,0.000673,0.000912,0.0,0.3
316,465,-4074,-20,20,-199,-1.617,-5.695,-0.09106,-0.09765,0.00066,0.000896,0.0,0.3
295,457,-4187,-62,-52,-209,-1.707,-5.688,-0.092618,-0.097529,0.000649,0.000883,0.0,0.3
277,540,-3891,32,71,-226,-1.741,-5.798,-0.093226,-0.099446,0.000638,0.000872,0.0,0.3
187,431,-4067,67,58,-97,-1.704,-5.909,-0.09258,-0.101381,0.000629,0.000862,0.0,0.3
431,513,-4309,39,29,-183,-1.604,-5.956,-0.090819,-0.102213,0.000618,0.000845,0.0,0.3
275,500,-4097,28,-13,-317,-1.528,-6.008,-0.0895,-0.103123,0.000608,0.000837,0.0,0.3
349,551,-4113,-2,42,-430,-1.389,-6.104,-0.087076,-0.104781,0.000599,0.000835,0.0,0.3
200,502,-4080,-40,37,-448,-1.404,-6.292,-0.08734,-0.108063,0.00059,0.000833,0.0,0.3
231,529,-4052,-58,46,-470,-1.521,-6.476,-0.08938,-0.111284,0.000582,0.00083,0.0,0.3
220,426,-4171,-23,73,-309,-1.525,-6.723,-0.089448,-0.115601,0.000574,0.000828,0.0,0.3
102,419,-4076,9,47,-194,-1.457,-6.844,-0.088253,-0.117705,0.000566,0.00082,0.0,0.3
340,513,-4147,-41,26,-123,-1.542,-6.92,-0.089744,-0.119033,0.000559,0.000808,0.0,0.3
273,529,-4158,-61,-4,-124,-1.705,-6.977,-0.092587,-0.120028,0.000551,0.000791,0.0,0.3
197,494,-4005,-56,-12,-128,-1.835,-6.907,-0.094851,-0.118813,0.000544,0.000778,0.0,0.3
286,452,-4018,58,68,-99,-1.756,-6.94,-0.093485,-0.119381,0.000537,0.000765,0.0,0.3
216,567,-4095,-108,16,-128,-1.892,-6.978,-0.095849,-0.120044,0.000531,0.000754,0.0,0.3
286,538,-3971,79,52,-146,-1.842,-6.973,-0.094979,-0.119957,0.000524,0.00074,0.0,0.3
410,583,-4386,-82,28,-280,-1.864,-6.977,-0.095363,-0.12002,0.000518,0.000733,0.0,0.3
149,585,-4182,53,63,-288,-1.799,-7.078,-0.094224,-0.121783,0.000513,0.00073,0.0,0.3
232,526,-3770,-40,73,-377,-1.768,-7.217,-0.093687,-0.124209,0.000507,0.000728,0.0,0.3
215,446,-4170,-46,85,-277,-1.667,-7.442,-0.091921,-0.128145,0.000502,0.000726,0.0,0.3
343,632,-4340,-61,30,-398,-1.603,-7.644,-0.090812,-0.131663,0.000496,0.000723,0.0,0.3
284,569,-4081,-18,-15,-376,-1.612,-7.784,-0.090968,-0.134109,0.000491,0.000722,0.0,0.3
193,596,-3956,-63,35,-426,-1.621,-7.958,-0.091126,-0.137148,0.000486,0.00072,0.0,0.3
144,474,-4024,-80,111,-296,-1.672,-8.242,-0.092019,-0.142102,0.000481,0.000718,0.0,0.3
276,614,-4104,-49,39,-333,-1.733,-8.462,-0.093077,-0.145951,0.000477,0.000715,0.0,0.3
279,622,-4196,-80,75,-252,-1.855,-8.645,-0.095209,-0.149136,0.000472,0.000712,0.0,0.3
102,494,-3823,-45,67,-222,-1.992,-8.863,-0.097595,-0.152939,0.000468,0.000707,0.0,0.3
349,601,-3858,12,17,-225,-2.018,-8.944,-0.098059,-0.154349,0.000464,0.000701,0.0,0.3
353,668,-4182,86,-44,-347,-1.916,-8.985,-0.096274,-0.155064,0.00046,0.000698,0.0,0.3
199,674,-4048,-8,47,-371,-1.853,-9.189,-0.095181,-0.158639,0.000455,0.000696,0.0,0.3
244,657,-4088,-32,63,-348,-1.851,-9.39,-0.095137,-0.162143,0.000452,0.000694,0.0,0.3
243,545,-3938,-81,84,-267,-1.98,-9.661,-0.097397,-0.166869,0.000448,0.000692,0.0,0.3
344,775,-4325,-36,45,-365,-2.039,-9.835,-0.098422,-0.169903,0.000444,0.000689,0.0,0.3
164,649,-3912,-26,61,-368,-2.062,-9.959,-0.098829,-0.172079,0.000441,0.000688,0.0,0.3
72,613,-3918,31,126,-287,-2.052,-10.159,-0.098653,-0.17557,0.000437,0.000686,0.0,0.3
317,694,-4183,2,76,-222,-1.968,-10.353,-0.097174,-0.178955,0.000434,0.000682,0.0,0.3
305,725,-4140,-68,85,-179,-2.012,-10.447,-0.097952,-0.180592,0.000431,0.000677,0.0,0.3
332,727,-4083,-52,76,-167,-2.04,-10.467,-0.098436,-0.180935,0.000428,0.000671,0.0,0.3
255,709,-4017,-8,-9,-199,-2.074,-10.473,-0.099035,-0.181048,0.000424,0.000665,0.0,0.3
381,784,-4060,-41,70,-294,-2.018,-10.541,-0.098057,-0.182229,0.000422,0.000662,0.0,0.3
322,837,-3990,-60,73,-318,-2.021,-10.579,-0.0981,-0.182892,0.000419,0.000662,0.0,0.3
73,753,-4336,-90,56,-328,-1.97,-10.833,-0.097213,-0.187322,0.000416,0.00066,0.0,0.3
248,825,-3896,-105,144,-251,-2.05,-11.065,-0.098604,-0.191378,0.000413,0.000657,0.0,0.3
362,714,-3836,-18,46,-228,-2.158,-11.346,-0.100488,-0.196279,0.000411,0.000653,0.0,0.3
286,794,-4156,6,36,-267,-2.063,-11.414,-0.098839,-0.19747,0.000408,0.000651,0.0,0.3
245,822,-4074,-33,31,-295,-2.074,-11.595,-0.099029,-0.20062,0.000405,0.000648,0.0,0.3
76,801,-4150,-61,161,-208,-2.138,-11.811,-0.100146,-0.204388,0.000403,0.000644,0.0,0.3
445,901,-4050,-48,82,-284,-2.252,-11.942,-0.102136,-0.206674,0.000401,0.000639,0.0,0.3
172,673,-3798,-75,58,-239,-2.245,-11.984,-0.102021,-0.207407,0.000398,0.000636,0.0,0.3
253,891,-4158,-57,25,-284,-2.265,-12.043,-0.10236,-0.208446,0.000396,0.000633,0.0,0.3
368,950,-4174,-62,34,-305,-2.374,-12.114,-0.104274,-0.209692,0.000394,0.000631,0.0,0.3
-18,730,-4096,37,154,-229,-2.341,-12.336,-0.103692,-0.213567,0.000392,0.000628,0.0,0.3
440,849,-3942,-8,-101,-279,-2.32,-12.406,-0.103325,-0.214776,0.000389,0.000624,0.0,0.3
246,863,-4339,10,39,-298,-2.286,-12.592,-0.102737,-0.218029,0.000387,0.000621,0.0,0.3
141,808,-3984,-76,30,-294,-2.277,-12.647,-0.102569,-0.21898,0.000386,0.000618,0.0,0.3
317,805,-3563,-93,77,-316,-2.366,-12.776,-0.104121,-0.221243,0.000384,0.000616,0.0,0.3
316,849,-4145,-26,77,-338,-2.386,-13.035,-0.104472,-0.225754,0.000382,0.000614,0.0,0.3
290,987,-4248,-33,13,-442,-2.242,-13.068,-0.101963,-0.226335,0.00038,0.000613,0.0,0.3
129,845,-3782,-55,58,-411,-2.186,-13.242,-0.100977,-0.229364,0.000378,0.000613,0.0,0.3
112,906,-4016,-56,133,-301,-2.288,-13.65,-0.102772,-0.236501,0.000376,0.00061,0.0,0.3
488,1020,-4185,-6,98,-353,-2.302,-13.943,-0.103003,-0.241609,0.000375,0.000609,0.0,0.3
94,957,-4191,-52,92,-273,-2.345,-14.207,-0.103754,-0.246217,0.000373,0.000606,0.0,0.3
188,913,-4011,-23,70,-236,-2.428,-14.335,-0.105216,-0.248441,0.000371,0.000603,0.0,0.3
524,1005,-3821,-54,84,-372,-2.446,-14.354,-0.105524,-0.248787,0.00037,0.000603,0.0,0.3
-188,806,-3674,-8,5,-373,-2.424,-14.481,-0.105135,-0.251003,0.000368,0.000602,0.0,0.3
355,1069,-4057,-25,95,-410,-2.343,-14.622,-0.103729,-0.253465,0.000367,0.000601,0.0,0.3
204,1107,-4178,-36,159,-335,-2.425,-14.98,-0.105158,-0.259699,0.000365,0.0006,0.0,0.3
558,1103,-3964,-71,-106,-441,-2.56,-15.215,-0.107509,-0.263808,0.000364,0.000598,0.0,0.3
-24,984,-4275,35,32,-355,-2.469,-15.395,-0.105921,-0.266944,0.000362,0.000598,0.0,0.3
200,1205,-4233,-48,117,-309,-2.453,-15.706,-0.105644,-0.272369,0.000361,0.000597,0.0,0.3
237,1093,-4208,-73,169,-242,-2.496,-16.004,-0.106395,-0.277573,0.00036,0.000595,0.0,0.3
55,849,-3204,-50,131,-205,-2.62,-16.227,-0.108567,-0.281477,0.000358,0.000593,0.0,0.3
133,968,-3903,-26,43,-261,-2.651,-16.33,-0.109095,-0.283274,0.000357,0.000591,0.0,0.3
267,1142,-4311,-80,52,-354,-2.621,-16.466,-0.108571,-0.285642,0.000356,0.00059,0.0,0.3
255,1118,-3990,-36,44,-377,-2.57,-16.656,-0.10768,-0.288959,0.000355,0.000589,0.0,0.3
185,1249,-4486,-62,46,-287,-2.658,-16.752,-0.109214,-0.290628,0.000354,0.000588,0.0,0.3
189,1153,-4350,-146,164,-165,-2.834,-16.9,-0.112287,-0.293208,0.000352,0.000586,0.0,0.3
452,1123,-4105,-32,176,-182,-2.932,-17.21,-0.114004,-0.298632,0.000351,0.000582,0.0,0.3
278,1146,-3778,-51,82,-278,-2.932,-17.422,-0.114007,-0.302324,0.00035,0.00058,0.0,0.3
89,1157,-3918,-35,64,-275,-2.919,-17.513,-0.11378,-0.303918,0.000349,0.000578,0.0,0.3
329,1211,-3988,3,74,-327,-2.891,-17.688,-0.113297,-0.306968,0.000348,0.000578,0.0,0.3
23,1050,-3905,18,130,-239,-2.931,-18.01,-0.113985,-0.312594,0.000347,0.000576,0.0,0.3
279,1174,-4024,1,100,-247,-2.812,-18.198,-0.111904,-0.315871,0.000346,0.000574,0.0,0.3
348,1071,-3714,-26,15,-327,-2.706,-18.371,-0.110064,-0.318884,0.000345,0.000573,0.0,0.3
125,1326,-4129,-100,143,-297,-2.789,-18.506,-0.111514,-0.321238,0.000344,0.000572,0.0,0.3
93,1142,-3624,-126,238,-147,-3.067,-18.771,-0.116355,-0.325867,0.000343,0.00057,0.0,0.3
668,1561,-4754,-103,137,-274,-3.017,-18.861,-0.115494,-0.327445,0.000342,0.00057,0.0,0.3
199,1278,-3942,-61,162,-269,-3.067,-19.149,-0.116355,-0.332475,0.000341,0.000568,0.0,0.3
328,1170,-3496,3,89,-242,-3.171,-19.376,-0.118182,-0.336437,0.00034,0.000566,0.0,0.3
152,2087,-4566,38,55,-351,-3.147,-19.549,-0.117764,-0.339456,0.00034,0.000565,0.0,0.3
234,2068,-3770,298,110,-288,-2.734,-19.92,-0.110554,-0.345925,0.000339,0.000564,0.0,0.3
413,1972,-3273,810,-56,112,-1.649,-19.928,-0.091612,-0.346072,0.000338,0.000557,0.0,0.3
53,2246,-3638,817,-126,400,-0.038,-19.508,-0.063488,-0.33873,0.000337,0.000557,0.0,0.3
-69,2359,-3792,-134,-214,109,0.092,-18.733,-0.06123,-0.32521,0.000336,0.000552,0.0,0.3
711,2235,-3441,243,-56,-74,-0.251,-18.362,-0.067219,-0.318737,0.000336,0.000546,0.0,0.3
378,1161,-4008,78,162,-170,-0.137,-18.545,-0.065223,-0.321921,0.000335,0.000541,0.0,0.3
263,1582,-3915,666,-36,-239,0.818,-18.623,-0.048547,-0.323295,0.000334,0.000539,0.0,0.3
375,1434,-4229,757,-29,-22,2.257,-18.445,-0.023446,-0.320188,0.000333,0.000533,0.0,0.3
-52,1376,-4296,306,-115,168,3.094,-18.095,-0.008829,-0.314066,0.000333,0.000527,0.0,0.3
300,794,-3654,1,91,502,2.996,-17.63,-0.01054,-0.305952,0.000332,0.000527,0.0,0.3
548,919,-4866,-215,-64,408,2.226,-17.175,-0.023984,-0.298019,0.000331,0.000528,0.0,0.3
102,470,-4115,-360,-125,287,0.602,-16.951,-0.052327,-0.294114,0.000331,0.000529,0.0,0.3
318,350,-3602,-250,151,143,-0.344,-16.702,-0.068841,-0.289757,0.00033,0.000525,0.0,0.3
