acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,kf_roll,kf_pitch,Xk0,Xk1,Pk0,Pk1,Q0,R0
227,-42,-4123,40,-3,0,4.175,-3.174,0.01003,-0.05365,0.024393,0.024395,1e-05,0.05
222,-33,-4121,39,0,-1,4.143,-3.177,0.009478,-0.053705,0.016399,0.0164,1e-05,0.05
283,-53,-4124,-571,-35,55,4.152,-2.452,0.009634,-0.041047,0.001374,0.001384,1e-05,0.05
183,81,-3762,-388,-6,92,2.258,-2.775,-0.023419,-0.046686,0.001156,0.001175,1e-05,0.05
223,-17,-4075,-173,44,-97,1.904,-2.876,-0.0296,-0.048443,0.001019,0.001042,1e-05,0.05
244,-55,-3891,-63,10,-150,2.032,-3.006,-0.027369,-0.050723,0.000928,0.000989,1e-05,0.05
265,132,-4042,-128,19,-61,1.795,-3.194,-0.031495,-0.054004,0.000866,0.000931,1e-05,0.05
178,212,-4108,4,-25,24,1.511,-3.11,-0.036461,-0.05253,0.000822,0.000869,1e-05,0.05
231,86,-4148,-97,15,-66,1.357,-3.098,-0.039154,-0.05232,0.000791,0.000828,1e-05,0.05
229,267,-4145,-71,-8,-61,1.076,-3.142,-0.044049,-0.053085,0.000768,0.000803,1e-05,0.05
236,186,-4085,-25,10,-78,0.971,-3.209,-0.045886,-0.054262,0.000751,0.000786,1e-05,0.05
232,193,-4093,11,6,-80,0.963,-3.239,-0.046025,-0.054778,0.00074,0.000777,1e-05,0.05
220,169,-4100,23,7,-72,1.016,-3.255,-0.045097,-0.055072,0.00073,0.000768,1e-05,0.05
214,189,-4110,7,3,-36,1.076,-3.227,-0.044057,-0.054581,0.000723,0.000755,1e-05,0.05
236,170,-4116,-7,0,0,1.085,-3.256,-0.043904,-0.055081,0.000718,0.000743,1e-05,0.05
188,143,-4118,-9,-4,45,1.134,-3.205,-0.043043,-0.054186,0.000714,0.000734,1e-05,0.05
234,145,-4116,-42,-9,71,1.129,-3.163,-0.043134,-0.053458,0.000711,0.000733,1e-05,0.05
223,166,-4110,-55,-5,74,1.02,-3.161,-0.045024,-0.053419,0.000709,0.000735,1e-05,0.05
249,188,-4112,-39,-4,11,0.919,-3.181,-0.046789,-0.053772,0.000707,0.00073,1e-05,0.05
255,202,-4116,-54,-2,-50,0.815,-3.248,-0.048615,-0.054945,0.000706,0.000725,1e-05,0.05
224,187,-4101,-79,-1,-37,0.686,-3.264,-0.050855,-0.055222,0.000705,0.000723,1e-05,0.05
223,192,-4094,-95,-2,-26,0.567,-3.253,-0.052944,-0.055039,0.000704,0.00072,1e-05,0.05
245,229,-4169,-161,-1,-19,0.242,-3.273,-0.058608,-0.055376,0.000704,0.000716,1e-05,0.05
230,245,-4098,-157,-5,-49,-0.152,-3.236,-0.065481,-0.05474,0.000703,0.000714,1e-05,0.05
279,251,-4039,-78,11,-151,-0.352,-3.345,-0.06898,-0.056632,0.000703,0.000733,1e-05,0.05
215,306,-4104,-123,4,-188,-0.567,-3.41,-0.072726,-0.057771,0.000703,0.000762,1e-05,0.05
230,277,-4131,-58,-14,-235,-0.799,-3.459,-0.076786,-0.058624,0.000703,0.000795,1e-05,0.05
242,174,-4259,-100,-14,-203,-0.736,-3.544,-0.075677,-0.060116,0.000703,0.000824,1e-05,0.05
159,405,-4034,-92,3,-172,-1.008,-3.541,-0.080417,-0.06006,0.000702,0.000838,1e-05,0.05
260,291,-4023,23,89,-134,-1.084,-3.567,-0.081755,-0.060518,0.000702,0.00084,1e-05,0.05
278,284,-4208,-195,1,-123,-1.126,-3.661,-0.082483,-0.062153,0.000702,0.000835,1e-05,0.05
272,320,-4071,41,-37,-62,-1.107,-3.598,-0.082145,-0.061049,0.000702,0.000814,1e-05,0.05
169,392,-4045,-227,-8,-106,-1.332,-3.558,-0.086079,-0.060354,0.000702,0.0008,1e-05,0.05
329,497,-3961,46,-39,-221,-1.762,-3.552,-0.093582,-0.060242,0.000702,0.000807,1e-05,0.05
184,278,-4266,-81,79,-286,-1.549,-3.779,-0.089871,-0.064209,0.000702,0.000845,1e-05,0.05
91,559,-3689,-126,60,-323,-1.984,-3.81,-0.097456,-0.064757,0.000702,0.000889,1e-05,0.05
219,282,-4096,362,48,-244,-1.602,-3.91,-0.0908,-0.066501,0.000702,0.000925,1e-05,0.05
198,386,-4234,-255,-3,-224,-1.376,-3.993,-0.086844,-0.067953,0.000702,0.000932,1e-05,0.05
156,672,-3918,208,0,-92,-1.877,-3.864,-0.095587,-0.065687,0.000702,0.000906,1e-05,0.05
192,-104,-4352,44,38,18,-1.236,-3.818,-0.084396,-0.064899,0.000702,0.000856,1e-05,0.05
200,554,-4032,-192,38,85,-1.239,-3.689,-0.08446,-0.062645,0.000702,0.000823,1e-05,0.05
325,824,-3792,472,-2,27,-1.248,-3.655,-0.084619,-0.062049,0.000702,0.000796,1e-05,0.05
284,123,-4514,-233,-85,-110,-0.907,-3.796,-0.07866,-0.064513,0.000702,0.000779,1e-05,0.05
252,777,-3931,226,-45,-132,-1.637,-3.71,-0.091405,-0.063,0.000702,0.000782,1e-05,0.05
257,-131,-4420,-7,10,-118,-1.011,-3.754,-0.080485,-0.063772,0.000702,0.000785,1e-05,0.05
246,201,-4460,-244,-9,-20,-1.068,-3.7,-0.081468,-0.062835,0.000702,0.00077,1e-05,0.05
132,773,-3678,478,26,-53,-0.963,-3.516,-0.079645,-0.059623,0.000702,0.000755,1e-05,0.05
325,55,-4504,-294,-15,-8,-0.733,-3.585,-0.075625,-0.060833,0.000702,0.000752,1e-05,0.05
246,715,-3926,285,-56,-10,-1.278,-3.611,-0.085138,-0.061273,0.000702,0.000739,1e-05,0.05
144,223,-4104,2,10,-34,-0.67,-3.494,-0.074533,-0.059237,0.000702,0.000733,1e-05,0.05
308,358,-4325,-69,21,-28,-1.222,-3.528,-0.084157,-0.059832,0.000702,0.000727,1e-05,0.05
259,605,-3708,541,-12,-138,-1.108,-3.565,-0.082174,-0.060475,0.000702,0.000727,1e-05,0.05
181,40,-4537,-335,-3,-83,-0.734,-3.594,-0.075635,-0.060982,0.000702,0.000738,1e-05,0.05
283,898,-3529,613,52,-85,-0.983,-3.584,-0.079988,-0.060803,0.000702,0.000735,1e-05,0.05
252,-127,-4601,-579,15,-81,-0.527,-3.555,-0.072027,-0.060294,0.000702,0.000738,1e-05,0.05
213,1087,-3806,430,-111,-21,-1.367,-3.362,-0.086684,-0.05693,0.000702,0.000734,1e-05,0.05
300,-390,-4458,-222,92,-101,-0.41,-3.528,-0.069984,-0.059833,0.000702,0.000744,1e-05,0.05
129,893,-3663,350,-111,-17,-1.233,-3.272,-0.084355,-0.055354,0.000702,0.000734,1e-05,0.05
279,-392,-4140,40,227,-96,0.04,-3.326,-0.062136,-0.056311,0.000702,0.000735,1e-05,0.05
409,1372,-4315,487,-169,-157,-1.063,-3.447,-0.08138,-0.058416,0.000702,0.000753,1e-05,0.05
326,-1310,-4631,-414,541,-223,-0.651,-3.542,-0.074199,-0.060072,0.000702,0.000755,1e-05,0.05
255,2090,-3314,789,-197,-187,-1.801,-3.394,-0.094262,-0.057496,0.000702,0.000786,1e-05,0.05
273,-2103,-4590,-11,428,-241,0.242,-3.484,-0.058602,-0.059069,0.000702,0.000793,1e-05,0.05
180,3971,-3062,1179,-593,-238,-1.258,-3.51,-0.084789,-0.059516,0.000702,0.000825,1e-05,0.05
-16,-2506,-3621,-213,654,-293,2.494,-3.261,-0.0193,-0.055162,0.000702,0.000846,1e-05,0.05
194,3192,-3826,1122,-473,-205,1.246,-3.352,-0.04108,-0.056757,0.000702,0.000864,1e-05,0.05
144,-2190,-4906,-1227,218,-85,3.592,-3.362,-0.000146,-0.05694,0.000702,0.000828,1e-05,0.05
261,2824,-2651,564,-80,26,-0.128,-3.2,-0.065061,-0.054105,0.000702,0.000817,1e-05,0.05
217,-1530,-4138,-428,300,-128,1.929,-3.18,-0.029166,-0.053759,0.000702,0.000798,1e-05,0.05
108,707,-3843,656,-29,-48,1.112,-2.786,-0.043429,-0.046871,0.000702,0.000775,1e-05,0.05
229,-350,-4428,-224,-13,7,2.402,-2.821,-0.020915,-0.047492,0.000702,0.000761,1e-05,0.05
342,1862,-3393,24,-75,110,0.337,-2.888,-0.056944,-0.048655,0.000702,0.00075,1e-05,0.05
16,-1513,-4449,-489,227,10,0.108,-2.811,-0.060944,-0.047316,0.000702,0.000745,1e-05,0.05
315,608,-3780,174,0,59,0.473,-2.665,-0.054573,-0.044763,0.000702,0.000739,1e-05,0.05
117,-389,-4341,69,80,87,2.164,-2.896,-0.025064,-0.0488,0.000702,0.000741,1e-05,0.05
215,2054,-3681,123,-381,32,0.257,-2.809,-0.058349,-0.047274,0.000702,0.000736,1e-05,0.05
157,-1823,-4319,-434,292,-16,0.668,-2.907,-0.05117,-0.048983,0.000702,0.000741,1e-05,0.05
393,1682,-3369,465,-4,-55,0.055,-3.089,-0.061878,-0.052168,0.000702,0.000743,1e-05,0.05
30,-1837,-4913,-355,564,-26,1.233,-3.41,-0.041308,-0.057775,0.000702,0.000737,1e-05,0.05
382,3148,-2596,804,-601,-99,0.13,-3.137,-0.060562,-0.053003,0.000702,0.000747,1e-05,0.05
-214,-1645,-2957,102,432,-138,0.015,-3.143,-0.062578,-0.053102,0.000702,0.000757,1e-05,0.05
347,1949,-4526,996,-161,-150,1.092,-3.08,-0.043775,-0.052009,0.000702,0.000765,1e-05,0.05
392,-1078,-5759,-858,-28,-47,2.272,-3.2,-0.023177,-0.054114,0.000702,0.000751,1e-05,0.05
209,1201,-4413,87,-622,78,-0.327,-3.153,-0.068546,-0.053291,0.000702,0.000745,1e-05,0.05
14,-1233,-2936,17,213,-29,-0.109,-2.999,-0.06474,-0.05059,0.000702,0.000751,1e-05,0.05
405,1507,-4564,760,-144,-124,0.373,-3.08,-0.05632,-0.052008,0.000702,0.000752,1e-05,0.05
55,55,-2900,-72,77,-55,1.192,-3.298,-0.042027,-0.055816,0.000702,0.000749,1e-05,0.05
156,742,-4549,204,-428,7,-0.831,-3.073,-0.077336,-0.051888,0.000702,0.000737,1e-05,0.05
565,-1361,-5458,-101,240,-106,-0.714,-3.042,-0.075298,-0.051349,0.000702,0.000748,1e-05,0.05
256,469,-4318,558,-37,-80,0.464,-2.877,-0.054739,-0.04847,0.000702,0.000743,1e-05,0.05
123,-52,-3082,-201,260,-3,1.348,-3.032,-0.039299,-0.051177,0.000702,0.000736,1e-05,0.05
94,1118,-4254,349,-505,-45,-0.689,-3.033,-0.074855,-0.051198,0.000702,0.000738,1e-05,0.05
337,-1889,-5326,-287,351,-70,-0.751,-3.001,-0.075938,-0.050626,0.000702,0.000747,1e-05,0.05
142,972,-4473,557,0,-40,-0.137,-2.774,-0.065224,-0.046677,0.000702,0.000744,1e-05,0.05
220,-662,-3510,-746,178,-61,1.485,-3.15,-0.036919,-0.05324,0.000702,0.000739,1e-05,0.05
257,2588,-3560,538,-703,-128,-1.158,-3.146,-0.083041,-0.053156,0.000702,0.000751,1e-05,0.05
-1,-2749,-4825,356,278,-84,-0.372,-2.959,-0.069317,-0.049891,0.000702,0.000755,1e-05,0.05
326,1182,-5161,1053,25,-30,0.402,-2.926,-0.055823,-0.049315,0.000702,0.000744,1e-05,0.05
