acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,kf_roll,kf_pitch,Xk0,Xk1,Pk0,Pk1,Q0,R0
245,198,-4094,-69,6,-8,0.962,-3.358,-0.046039,-0.056858,0.047619,0.047673,1e-05,0.05
245,198,-4094,-64,7,-2,0.89,-3.438,-0.047294,-0.058262,0.024393,0.024408,1e-05,0.05
258,213,-4115,-63,5,-6,0.797,-3.519,-0.048924,-0.059678,0.016399,0.01641,1e-05,0.05
248,242,-4112,-51,-8,0,0.129,-3.552,-0.060573,-0.060253,0.001403,0.001403,1e-05,0.05
208,238,-4088,-7,-2,5,0.103,-3.43,-0.061038,-0.058112,0.001173,0.001173,1e-05,0.05
226,233,-4102,47,-4,28,0.273,-3.383,-0.058059,-0.057292,0.001019,0.001021,1e-05,0.05
221,213,-4100,76,-1,31,0.427,-3.331,-0.055381,-0.056394,0.000928,0.000932,1e-05,0.05
228,204,-4117,55,2,24,0.606,-3.311,-0.052256,-0.056036,0.000866,0.000871,1e-05,0.05
229,172,-4119,49,-2,-4,0.768,-3.322,-0.049426,-0.056235,0.000822,0.000826,1e-05,0.05
239,129,-4117,32,-9,4,1.009,-3.305,-0.045227,-0.055937,0.000791,0.000794,1e-05,0.05
243,162,-4118,-12,3,-38,1.104,-3.324,-0.043566,-0.056274,0.000768,0.000771,1e-05,0.05
250,165,-4137,-49,-6,-54,1.01,-3.364,-0.045197,-0.056963,0.000751,0.000758,1e-05,0.05
163,59,-4081,17,-2,31,1.156,-3.242,-0.042659,-0.054832,0.000739,0.000746,1e-05,0.05
289,189,-4084,23,4,-7,1.287,-3.314,-0.040367,-0.056095,0.00073,0.000736,1e-05,0.05
213,191,-4122,-10,4,-45,1.246,-3.34,-0.041089,-0.056544,0.000723,0.000729,1e-05,0.05
230,140,-4096,0,14,-25,1.276,-3.362,-0.04056,-0.056926,0.000718,0.000727,1e-05,0.05
223,108,-4105,17,-12,49,1.437,-3.319,-0.037752,-0.056185,0.000714,0.000722,1e-05,0.05
218,189,-4113,-9,9,34,1.422,-3.299,-0.038021,-0.055828,0.000711,0.00072,1e-05,0.05
250,183,-4128,-36,-9,19,1.277,-3.308,-0.04054,-0.055996,0.000709,0.000716,1e-05,0.05
232,142,-4090,30,6,-1,1.315,-3.332,-0.039886,-0.056409,0.000707,0.000713,1e-05,0.05
224,153,-4120,37,-2,-6,1.454,-3.307,-0.037447,-0.05598,0.000706,0.00071,1e-05,0.05
238,167,-4129,-9,-6,6,1.44,-3.31,-0.037703,-0.056032,0.000705,0.000708,1e-05,0.05
229,141,-4109,10,-6,-2,1.455,-3.305,-0.037429,-0.055935,0.000704,0.000707,1e-05,0.05
236,140,-4098,36,2,-11,1.547,-3.314,-0.03583,-0.056092,0.000704,0.000706,1e-05,0.05
227,150,-4120,37,1,18,1.608,-3.317,-0.034774,-0.056145,0.000703,0.000705,1e-05,0.05
239,164,-4116,27,-3,20,1.708,-3.29,-0.033023,-0.055682,0.000703,0.000706,1e-05,0.05
226,116,-4108,30,-3,30,1.779,-3.286,-0.03179,-0.055611,0.000703,0.000707,1e-05,0.05
230,128,-4115,32,-3,27,1.817,-3.288,-0.031127,-0.055647,0.000703,0.000707,1e-05,0.05
217,114,-4133,-14,-2,75,1.822,-3.276,-0.031028,-0.055426,0.000703,0.000709,1e-05,0.05
221,128,-4121,-47,-7,126,1.715,-3.236,-0.032897,-0.054736,0.000702,0.000725,1e-05,0.05
265,150,-4080,11,-2,79,1.664,-3.243,-0.033787,-0.054864,0.000702,0.000736,1e-05,0.05
238,146,-4103,53,-1,14,1.746,-3.285,-0.032352,-0.055596,0.000702,0.000731,1e-05,0.05
250,149,-4139,-7,0,-14,1.782,-3.312,-0.03173,-0.05606,0.000702,0.000724,1e-05,0.05
240,159,-4126,-66,-3,-12,1.639,-3.332,-0.03422,-0.056408,0.000702,0.000719,1e-05,0.05
236,150,-4095,-56,-5,-21,1.438,-3.333,-0.037732,-0.056429,0.000702,0.000715,1e-05,0.05
215,121,-4087,-5,-3,12,1.439,-3.325,-0.037718,-0.056288,0.000702,0.000712,1e-05,0.05
207,123,-4119,0,-8,86,1.509,-3.273,-0.036489,-0.055385,0.000702,0.000715,1e-05,0.05
230,159,-4121,-21,-10,122,1.483,-3.222,-0.036953,-0.054485,0.000702,0.00073,1e-05,0.05
222,161,-4116,-35,-11,145,1.381,-3.188,-0.038727,-0.053888,0.000702,0.000747,1e-05,0.05
226,142,-4112,-35,-18,186,1.292,-3.145,-0.040275,-0.053153,0.000702,0.000771,1e-05,0.05
237,162,-4084,6,-16,194,1.27,-3.093,-0.040675,-0.052242,0.000702,0.000797,1e-05,0.05
252,155,-4096,89,-6,87,1.399,-3.117,-0.038419,-0.052649,0.000702,0.000798,1e-05,0.05
244,158,-4146,45,-2,48,1.582,-3.17,-0.035218,-0.053577,0.000702,0.000778,1e-05,0.05
268,189,-4136,-19,-10,-8,1.545,-3.197,-0.035864,-0.05405,0.000702,0.000762,1e-05,0.05
272,195,-4126,-26,-2,-115,1.404,-3.274,-0.038333,-0.05539,0.000702,0.000758,1e-05,0.05
235,134,-4118,-24,2,-141,1.383,-3.307,-0.038693,-0.055965,0.000702,0.000769,1e-05,0.05
220,111,-4109,-3,-6,-60,1.398,-3.31,-0.038426,-0.056024,0.000702,0.00077,1e-05,0.05
189,108,-4117,22,0,51,1.59,-3.235,-0.035088,-0.054723,0.000702,0.000753,1e-05,0.05
187,96,-4123,7,-17,158,1.681,-3.148,-0.033489,-0.053197,0.000702,0.000761,1e-05,0.05
194,108,-4118,-40,-4,265,1.679,-3.088,-0.033526,-0.052155,0.000702,0.000799,1e-05,0.05
238,128,-4118,-36,-20,257,1.592,-3.041,-0.035044,-0.051324,0.000702,0.000839,1e-05,0.05
243,152,-4099,15,-9,184,1.545,-3.013,-0.035868,-0.050843,0.000702,0.000861,1e-05,0.05
249,150,-4096,37,-3,135,1.591,-3.062,-0.035059,-0.0517,0.000702,0.000859,1e-05,0.05
228,151,-4129,17,-17,134,1.629,-3.067,-0.034396,-0.051783,0.000702,0.000847,1e-05,0.05
229,126,-4122,11,-2,132,1.648,-3.056,-0.034067,-0.051586,0.000702,0.000836,1e-05,0.05
222,122,-4117,14,-14,141,1.668,-3.034,-0.033715,-0.051204,0.000702,0.000838,1e-05,0.05
217,124,-4097,43,-2,100,1.753,-3.042,-0.032234,-0.05135,0.000702,0.000827,1e-05,0.05
259,122,-4114,38,-9,59,1.868,-3.087,-0.030236,-0.052137,0.000702,0.000804,1e-05,0.05
208,111,-4128,-24,-1,51,1.894,-3.101,-0.029779,-0.052382,0.000702,0.000786,1e-05,0.05
267,218,-4147,-113,-15,-31,1.569,-3.166,-0.035444,-0.053503,0.000702,0.000765,1e-05,0.05
199,57,-4099,-82,-4,47,1.437,-3.099,-0.037745,-0.052349,0.000702,0.00075,1e-05,0.05
220,144,-4078,0,0,-14,1.418,-3.085,-0.038088,-0.052106,0.000702,0.000741,1e-05,0.05
253,180,-4127,24,-4,-62,1.415,-3.163,-0.038142,-0.053454,0.000702,0.000737,1e-05,0.05
228,122,-4098,55,7,-47,1.574,-3.184,-0.035358,-0.053831,0.000702,0.000733,1e-05,0.05
207,120,-4128,12,4,-36,1.733,-3.167,-0.03259,-0.053532,0.000702,0.000726,1e-05,0.05
207,147,-4117,-12,-3,0,1.605,-3.189,-0.034827,-0.053917,0.000702,0.000724,1e-05,0.05
226,133,-4100,-20,-2,75,1.697,-3.116,-0.033221,-0.052645,0.000702,0.000726,1e-05,0.05
219,172,-4124,-26,1,39,1.596,-3.127,-0.034979,-0.052834,0.000702,0.000727,1e-05,0.05
255,109,-4091,12,-2,41,1.612,-3.156,-0.034691,-0.05334,0.000702,0.000724,1e-05,0.05
227,114,-4118,31,-4,6,1.725,-3.224,-0.032727,-0.054525,0.000702,0.000719,1e-05,0.05
209,105,-4126,5,-5,37,1.859,-3.156,-0.030395,-0.053343,0.000702,0.000716,1e-05,0.05
211,6,-4097,26,-3,100,1.981,-3.175,-0.028262,-0.05367,0.000702,0.000718,1e-05,0.05
204,114,-4145,-2,-1,110,2.139,-3.135,-0.025501,-0.052974,0.000702,0.000735,1e-05,0.05
271,137,-4109,-35,-5,39,2.006,-3.172,-0.027827,-0.05361,0.000702,0.000734,1e-05,0.05
237,122,-4106,5,-2,-37,1.985,-3.247,-0.028187,-0.054931,0.000702,0.000727,1e-05,0.05
210,97,-4119,-5,-6,-4,1.999,-3.216,-0.027937,-0.054387,0.000702,0.000722,1e-05,0.05
232,144,-4124,-55,1,-4,1.932,-3.22,-0.029105,-0.054446,0.000702,0.000717,1e-05,0.05
239,133,-4112,-90,7,-30,1.735,-3.224,-0.03255,-0.054527,0.000702,0.000714,1e-05,0.05
242,158,-4118,-103,5,-70,1.454,-3.272,-0.037452,-0.05537,0.000702,0.000715,1e-05,0.05
237,127,-4079,-39,-2,-91,1.337,-3.312,-0.039498,-0.05606,0.000702,0.000723,1e-05,0.05
211,142,-4106,1,11,-34,1.407,-3.305,-0.038271,-0.055942,0.000702,0.000723,1e-05,0.05
229,166,-4120,-4,3,-28,1.411,-3.309,-0.038211,-0.056009,0.000702,0.000719,1e-05,0.05
209,146,-4102,-5,1,26,1.406,-3.295,-0.038287,-0.055763,0.000702,0.000716,1e-05,0.05
245,196,-4101,18,0,4,1.402,-3.287,-0.038368,-0.055631,0.000702,0.000713,1e-05,0.05
231,201,-4118,18,11,-6,1.394,-3.312,-0.038494,-0.056052,0.000702,0.000711,1e-05,0.05
277,316,-4134,-77,13,-144,1.092,-3.389,-0.043775,-0.057397,0.000702,0.000719,1e-05,0.05
