acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,kf_roll,kf_pitch,Xk0,Xk1,Pk0,Pk1,Q0,R0
242,-179,-4114,33,6,7,5.973,-3.303,0.041419,-0.055904,0.047619,0.047661,5e-05,0.05
245,-203,-4125,20,0,5,6.192,-3.397,0.045246,-0.057539,0.024403,0.02442,5e-05,0.05
240,-198,-4128,14,-3,-3,6.245,-3.405,0.046168,-0.057684,0.016422,0.01643,5e-05,0.05
234,-212,-4132,-802,22,-25,6.059,-3.383,0.042913,-0.057298,0.001829,0.001834,5e-05,0.05
322,788,-4468,-1331,-7,-50,1.96,-3.475,-0.028615,-0.0589,0.001705,0.00173,5e-05,0.05
253,138,-3892,-758,0,-168,-0.074,-3.454,-0.064121,-0.058537,0.001629,0.001729,5e-05,0.05
251,-362,-4046,-464,-27,-230,0.165,-3.408,-0.059944,-0.057735,0.001597,0.001858,5e-05,0.05
242,118,-3939,-49,87,-176,0.882,-3.396,-0.047432,-0.057527,0.001576,0.001944,5e-05,0.05
242,128,-4331,-260,64,-86,0.814,-3.413,-0.048627,-0.05782,0.001567,0.001868,5e-05,0.05
242,602,-4111,-142,12,-9,-0.739,-3.29,-0.07573,-0.055685,0.001562,0.001729,5e-05,0.05
265,341,-4132,-226,-18,12,-1.033,-3.321,-0.080869,-0.056214,0.00156,0.001652,5e-05,0.05
201,390,-4051,-118,-11,-21,-1.839,-3.246,-0.094933,-0.054911,0.001558,0.001604,5e-05,0.05
253,449,-4026,56,-10,-95,-1.947,-3.265,-0.096815,-0.055243,0.001557,0.001615,5e-05,0.05
255,495,-4053,156,46,-228,-1.935,-3.486,-0.096612,-0.059093,0.001557,0.001735,5e-05,0.05
180,528,-4050,197,10,-245,-2.042,-3.54,-0.098474,-0.060034,0.001557,0.001908,5e-05,0.05
225,515,-4075,178,26,-181,-2.024,-3.508,-0.098166,-0.059479,0.001556,0.001988,5e-05,0.05
213,472,-4105,132,27,-154,-1.98,-3.525,-0.097391,-0.059777,0.001556,0.001948,5e-05,0.05
198,415,-4097,150,-2,-137,-1.796,-3.375,-0.094181,-0.057164,0.001556,0.001913,5e-05,0.05
210,421,-4075,176,16,-82,-1.577,-3.346,-0.090364,-0.056645,0.001556,0.001831,5e-05,0.05
174,357,-4125,144,13,0,-1.315,-3.181,-0.085783,-0.053781,0.001556,0.001718,5e-05,0.05
221,317,-4102,122,-14,65,-0.932,-3.084,-0.079091,-0.052077,0.001556,0.001656,5e-05,0.05
216,277,-4091,105,1,65,-0.544,-3.113,-0.072324,-0.052582,0.001556,0.001643,5e-05,0.05
229,248,-4137,24,-2,37,-0.268,-3.12,-0.067503,-0.052712,0.001556,0.001618,5e-05,0.05
239,219,-4128,-18,-8,21,-0.132,-3.203,-0.065133,-0.054158,0.001556,0.001594,5e-05,0.05
218,237,-4100,-10,-3,-9,0.016,-3.181,-0.062556,-0.053775,0.001556,0.001577,5e-05,0.05
231,244,-4100,19,6,-34,0.098,-3.208,-0.061113,-0.054251,0.001556,0.001572,5e-05,0.05
221,236,-4099,44,-1,-27,0.221,-3.239,-0.058977,-0.054791,0.001556,0.001572,5e-05,0.05
212,228,-4106,39,0,9,0.365,-3.197,-0.056468,-0.054057,0.001556,0.001565,5e-05,0.05
211,285,-4093,64,-7,20,0.387,-3.171,-0.056085,-0.053602,0.001556,0.001564,5e-05,0.05
229,300,-4086,90,-1,-7,0.288,-3.156,-0.057809,-0.053337,0.001556,0.001561,5e-05,0.05
245,187,-4122,94,-1,-4,0.485,-3.234,-0.054366,-0.054698,0.001556,0.001559,5e-05,0.05
197,193,-4093,123,-5,15,0.862,-3.209,-0.047791,-0.05427,0.001556,0.001558,5e-05,0.05
204,233,-4147,80,1,-11,0.991,-3.11,-0.045542,-0.052537,0.001556,0.001561,5e-05,0.05
302,129,-4135,1,6,-49,1.04,-3.231,-0.044683,-0.054643,0.001556,0.001567,5e-05,0.05
205,168,-4082,20,8,-99,1.192,-3.437,-0.042028,-0.05824,0.001556,0.001606,5e-05,0.05
227,-363,-4065,-134,-6,-12,1.505,-3.279,-0.036563,-0.055478,0.001556,0.00163,5e-05,0.05
131,306,-3974,-9,-16,-2,1.978,-3.308,-0.02831,-0.055984,0.001556,0.001604,5e-05,0.05
298,240,-4219,-115,-34,-27,1.561,-3.043,-0.03559,-0.051374,0.001556,0.001583,5e-05,0.05
297,319,-3957,15,6,-30,1.024,-3.349,-0.044964,-0.056709,0.001556,0.001581,5e-05,0.05
200,134,-4160,21,-19,94,1.314,-3.25,-0.039898,-0.054971,0.001556,0.001595,5e-05,0.05
315,137,-4175,-2,-62,101,1.314,-3.181,-0.039903,-0.053768,0.001556,0.001632,5e-05,0.05
290,146,-4163,-44,-112,120,1.315,-3.243,-0.039873,-0.054852,0.001556,0.001668,5e-05,0.05
167,103,-4138,-44,-81,181,1.383,-2.869,-0.038692,-0.048329,0.001556,0.001781,5e-05,0.05
130,256,-4066,-40,17,143,1.084,-2.589,-0.043911,-0.043433,0.001556,0.001806,5e-05,0.05
155,236,-4120,8,-18,15,0.868,-2.522,-0.047676,-0.042274,0.001556,0.001756,5e-05,0.05
281,202,-4085,44,-25,-137,0.674,-2.767,-0.051076,-0.046555,0.001556,0.001718,5e-05,0.05
-155,409,-3973,-211,-235,-61,0.42,-2.205,-0.05551,-0.036744,0.001556,0.001837,5e-05,0.05
1448,984,-5490,164,-134,-155,0.143,-3.615,-0.06034,-0.061356,0.001556,0.001848,5e-05,0.05
-453,152,-4609,-84,-440,-134,1.295,2.144,-0.040226,0.03917,0.001556,0.001876,5e-05,0.05
-253,103,-2571,79,263,-45,1.268,1.486,-0.040707,0.027673,0.001556,0.001761,5e-05,0.05
175,205,-3526,93,444,-75,0.933,-0.502,-0.046553,-0.007022,0.001556,0.001676,5e-05,0.05
337,216,-4405,52,-19,-58,0.873,-1.079,-0.047602,-0.017091,0.001556,0.001624,5e-05,0.05
200,191,-4087,66,-46,-28,1.021,-1.732,-0.045006,-0.028482,0.001556,0.001603,5e-05,0.05
91,167,-4118,85,-24,31,1.347,-1.597,-0.039317,-0.026133,0.001556,0.001585,5e-05,0.05
106,204,-4068,71,102,23,1.428,-1.571,-0.037912,-0.025677,0.001556,0.001582,5e-05,0.05
213,198,-4192,35,33,-28,1.331,-2.035,-0.03961,-0.033765,0.001556,0.001572,5e-05,0.05
185,107,-4174,36,-30,-23,1.522,-2.214,-0.036266,-0.036898,0.001556,0.00157,5e-05,0.05
186,88,-4089,23,8,-35,1.754,-2.324,-0.032215,-0.038808,0.001556,0.001569,5e-05,0.05
130,90,-4093,7,34,-35,1.939,-2.382,-0.028996,-0.039834,0.001556,0.001572,5e-05,0.05
204,123,-4149,-20,-7,-36,1.946,-2.346,-0.028863,-0.039194,0.001556,0.001574,5e-05,0.05
180,124,-4093,-16,26,-20,1.863,-2.57,-0.030317,-0.043115,0.001556,0.001574,5e-05,0.05
183,150,-4119,-22,-1,-23,1.826,-2.488,-0.030969,-0.041674,0.001556,0.001568,5e-05,0.05
199,162,-4122,-6,33,-57,1.602,-2.69,-0.034869,-0.045212,0.001556,0.001579,5e-05,0.05
176,205,-4100,28,-1,-59,1.442,-2.645,-0.037667,-0.044424,0.001556,0.001594,5e-05,0.05
194,203,-4098,76,45,-77,1.38,-2.727,-0.038754,-0.045846,0.001556,0.001608,5e-05,0.05
221,123,-4135,55,-6,-46,1.581,-2.857,-0.035231,-0.048113,0.001556,0.001607,5e-05,0.05
273,8,-4095,-9,18,-7,1.808,-2.797,-0.031284,-0.047074,0.001556,0.001588,5e-05,0.05
106,127,-4091,12,10,-25,1.922,-2.622,-0.029285,-0.044015,0.001556,0.001576,5e-05,0.05
295,64,-4121,-44,-13,-34,1.98,-2.713,-0.028274,-0.045613,0.001556,0.001575,5e-05,0.05
196,-7,-4131,-112,-2,45,2.097,-3.007,-0.026234,-0.050737,0.001556,0.00157,5e-05,0.05
94,170,-4112,-63,-19,106,2.099,-2.713,-0.026201,-0.045606,0.001556,0.001648,5e-05,0.05
236,245,-4104,-22,-12,26,1.572,-2.549,-0.035401,-0.042735,0.001556,0.001627,5e-05,0.05
196,170,-4072,20,-8,42,1.31,-2.779,-0.039962,-0.046754,0.001556,0.001601,5e-05,0.05
117,204,-4113,106,-19,51,1.415,-2.555,-0.038139,-0.042848,0.001556,0.001596,5e-05,0.05
231,156,-4128,74,-6,58,1.452,-2.506,-0.037483,-0.041991,0.001556,0.0016,5e-05,0.05
146,86,-4123,25,1,95,1.586,-2.678,-0.035158,-0.044995,0.001556,0.001617,5e-05,0.05
152,117,-4103,56,-21,120,1.88,-2.439,-0.030019,-0.040831,0.001556,0.001672,5e-05,0.05
