acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,kf_roll,kf_pitch,Xk0,Xk1,Pk0,Pk1,Q0,R0
291,89,-4111,7,4,-4,2.646,-3.214,-0.016644,-0.054347,0.230769,0.230822,0.0,0.3
291,89,-4111,9,7,0,2.523,-3.621,-0.018797,-0.061454,0.130435,0.130452,0.0,0.3
314,96,-4117,13,3,-4,2.447,-3.876,-0.020126,-0.065901,0.090909,0.090926,0.0,0.3
503,-109,-5434,-57,-504,-155,1.333,-4.458,-0.039563,-0.076065,0.007637,0.008825,0.0,0.3
-44,-405,-5843,-312,-80,-16,2.136,-2.942,-0.025554,-0.049606,0.005969,0.006751,0.0,0.3
151,362,-4497,-254,-29,-50,1.447,-2.55,-0.03758,-0.042757,0.005065,0.00593,0.0,0.3
506,424,-4469,99,152,-12,0.929,-3.8,-0.046609,-0.064585,0.004274,0.004945,0.0,0.3
150,-37,-4542,-213,1,82,0.928,-3.636,-0.046643,-0.06172,0.003791,0.004325,0.0,0.3
331,379,-4126,53,-75,117,0.656,-3.49,-0.051383,-0.059168,0.003331,0.003837,0.0,0.3
305,195,-4181,42,-23,48,0.679,-3.645,-0.050974,-0.061866,0.003001,0.00344,0.0,0.3
214,305,-4084,74,4,-13,0.692,-3.536,-0.05075,-0.059974,0.002731,0.003091,0.0,0.3
305,178,-4012,56,2,52,0.83,-3.583,-0.048341,-0.060783,0.002506,0.002809,0.0,0.3
211,176,-4156,82,-38,88,0.964,-3.59,-0.046008,-0.060907,0.002333,0.00261,0.0,0.3
247,103,-4101,-72,-11,170,0.946,-3.493,-0.046313,-0.05921,0.002152,0.002432,0.0,0.3
224,153,-4184,-121,0,168,0.798,-3.473,-0.048908,-0.058869,0.002024,0.002328,0.0,0.3
330,145,-4012,-113,-19,159,0.507,-3.394,-0.053992,-0.057494,0.001887,0.002218,0.0,0.3
304,162,-4066,-76,-18,70,0.348,-3.386,-0.05676,-0.057345,0.001789,0.002113,0.0,0.3
242,213,-4068,-43,7,-27,0.228,-3.387,-0.058854,-0.057377,0.001682,0.001966,0.0,0.3
295,232,-4064,-54,-3,-65,0.15,-3.444,-0.060215,-0.058366,0.001604,0.001865,0.0,0.3
263,216,-4102,-110,-11,-41,-0.028,-3.464,-0.063316,-0.058717,0.001518,0.001756,0.0,0.3
222,239,-4096,-153,2,0,-0.277,-3.458,-0.067675,-0.058615,0.001454,0.001672,0.0,0.3
278,259,-4128,-139,-10,-38,-0.65,-3.469,-0.074172,-0.058792,0.00139,0.001587,0.0,0.3
256,287,-4089,-122,8,-80,-0.984,-3.519,-0.08001,-0.059668,0.001325,0.001509,0.0,0.3
271,309,-4161,-108,6,-121,-1.225,-3.563,-0.084208,-0.060435,0.001272,0.001452,0.0,0.3
292,315,-4115,-85,15,-157,-1.444,-3.641,-0.088032,-0.061811,0.001223,0.001404,0.0,0.3
254,327,-4113,-64,15,-200,-1.577,-3.723,-0.090359,-0.063239,0.001178,0.001367,0.0,0.3
263,341,-3995,8,29,-217,-1.596,-3.827,-0.090691,-0.065046,0.001137,0.001337,0.0,0.3
303,399,-4039,-27,39,-351,-1.557,-3.998,-0.090001,-0.068034,0.001098,0.001318,0.0,0.3
270,445,-4074,-61,61,-480,-1.672,-4.212,-0.092016,-0.071762,0.001066,0.001309,0.0,0.3
271,375,-4091,-37,62,-598,-1.72,-4.543,-0.092853,-0.077545,0.001029,0.001303,0.0,0.3
311,363,-4088,-42,116,-681,-1.653,-4.909,-0.091682,-0.083933,0.000997,0.0013,0.0,0.3
262,405,-4032,-21,122,-803,-1.535,-5.332,-0.089629,-0.09131,0.000968,0.001298,0.0,0.3
339,435,-4344,-53,127,-833,-1.468,-5.746,-0.088447,-0.098545,0.000944,0.001297,0.0,0.3
325,412,-3941,-68,87,-879,-1.409,-6.19,-0.087425,-0.106294,0.000915,0.001296,0.0,0.3
121,406,-3958,-110,118,-819,-1.405,-6.676,-0.087349,-0.114774,0.000891,0.001295,0.0,0.3
255,464,-4167,-129,128,-832,-1.496,-7.129,-0.088939,-0.122675,0.000868,0.001294,0.0,0.3
286,531,-4076,-113,163,-864,-1.607,-7.657,-0.090872,-0.13189,0.000847,0.001293,0.0,0.3
