Ins Auto Telemetry Data Record
Record Time: 2026-06-23T21:29:53.713312
============================================================

Trajectory Points: 127
Waypoints: 0

Trajectory Points (x, y, mode, timestamp):
  -2301.66, 168.34, 4, 1782221383.7072353
  -2300.00, 168.30, 4, 1782221383.707266
  -2298.17, 168.25, 4, 1782221383.7813897
  -2296.00, 168.19, 4, 1782221383.9288955
  -2294.10, 168.15, 4, 1782221383.9396946
  -2291.97, 168.09, 4, 1782221384.0232115
  -2289.17, 168.01, 4, 1782221384.1439178
  -2285.46, 167.91, 4, 1782221384.1856759
  -2280.34, 167.77, 4, 1782221384.259514
  -2272.62, 167.55, 4, 1782221384.3680232
  -2253.95, 167.01, 4, 1782221384.4207566
  -2211.92, 165.85, 4, 1782221384.5772934
  -2148.15, 163.79, 4, 1782221384.5883312
  -2063.54, 160.12, 4, 1782221384.6610477
  -1965.53, 155.17, 4, 1782221384.7930036
  -1859.24, 150.01, 4, 1782221384.8249142
  -1745.95, 143.94, 4, 1782221384.9128866
  -1626.50, 137.07, 4, 1782221385.012495
  -1502.54, 129.40, 4, 1782221385.0658844
  -1376.70, 121.62, 4, 1782221385.233168
  -1253.20, 113.91, 4, 1782221385.2358902
  -1137.39, 107.02, 4, 1782221385.3092005
  -1037.17, 101.60, 4, 1782221385.453611
  -965.78, 98.22, 4, 1782221385.4643993
  -921.47, 96.52, 4, 1782221385.548118
  -901.90, 95.96, 4, 1782221385.6556964
  -905.80, 96.03, 4, 1782221385.7091155
  -934.49, 96.37, 4, 1782221385.884111
  -989.59, 96.91, 4, 1782221385.8841996
  -1068.11, 97.69, 4, 1782221385.9472947
  -1165.23, 98.85, 4, 1782221386.1099844
  -1284.31, 100.89, 4, 1782221386.1104183
  -1423.23, 103.55, 4, 1782221386.183435
  -1578.03, 105.60, 4, 1782221386.3210132
  -1745.36, 106.86, 4, 1782221386.3420897
  -1918.86, 108.12, 4, 1782221386.5243168
  -2088.20, 110.64, 4, 1782221386.5264466
  -2245.01, 115.28, 4, 1782221386.579319
  -2389.92, 121.57, 4, 1782221386.7451901
  -2525.82, 127.32, 4, 1782221386.7453468
  -2654.45, 131.21, 4, 1782221386.818703
  -2774.70, 133.36, 4, 1782221386.9652739
  -2886.53, 134.80, 4, 1782221386.9864676
  -2980.53, 136.33, 4, 1782221387.059575
  -3056.84, 137.76, 4, 1782221387.1711862
  -3119.09, 138.46, 4, 1782221387.2239661
  -3168.07, 138.17, 4, 1782221387.3818338
  -3201.81, 137.30, 4, 1782221387.3820493
  -3217.46, 136.86, 4, 1782221387.465895
  -3205.94, 136.97, 4, 1782221387.6001976
  -3167.46, 137.02, 4, 1782221387.6218169
  -3108.56, 136.83, 4, 1782221387.7151124
  -3037.37, 135.95, 4, 1782221387.8218586
  -2958.94, 134.28, 4, 1782221387.8650835
  -2877.30, 132.15, 4, 1782221388.0482147
