Ins Auto Telemetry Data Record
Record Time: 2026-06-24T18:11:00.633326
============================================================

Trajectory Points: 1091
Waypoints: 450

Trajectory Points (x, y, mode, timestamp):
  0.00, 0.00, 4, 1782295354.6923494
  0.00, 0.00, 4, 1782295354.7261765
  0.00, 0.00, 4, 1782295354.8093157
  0.00, 0.00, 4, 1782295354.8406534
  0.00, 0.00, 4, 1782295354.9278033
  0.00, 0.00, 4, 1782295354.959577
  0.00, 0.00, 4, 1782295355.0438812
  0.00, 0.00, 4, 1782295355.097479
  0.00, 0.00, 4, 1782295355.160307
  0.00, 0.00, 4, 1782295355.2029195
  0.00, 0.00, 4, 1782295355.2869272
  0.00, 0.00, 4, 1782295355.345563
  0.00, 0.00, 4, 1782295355.4083076
  0.00, 0.00, 4, 1782295355.4401786
  0.00, 0.00, 4, 1782295355.5303407
  0.00, 0.00, 4, 1782295355.5621762
  0.00, 0.00, 4, 1782295355.6460567
  0.00, 0.00, 4, 1782295355.6878278
  0.00, 0.00, 4, 1782295355.7765477
  0.00, 0.00, 4, 1782295355.8081028
  0.00, 0.00, 4, 1782295355.8822923
  0.00, 0.00, 4, 1782295355.925818
  0.00, 0.00, 4, 1782295356.0085907
  0.00, 0.00, 4, 1782295356.0402107
  0.00, 0.00, 4, 1782295356.124944
  0.00, 0.00, 4, 1782295356.1769032
  0.00, 0.00, 4, 1782295356.2398372
  0.00, 0.00, 4, 1782295356.2828016
  0.00, 0.00, 4, 1782295356.366714
  0.00, 0.00, 4, 1782295356.3996015
  0.00, 0.00, 4, 1782295356.483416
  0.00, 0.00, 4, 1782295356.5250027
  0.00, 0.00, 4, 1782295356.6163049
  0.00, 0.00, 4, 1782295356.6459687
  0.00, 0.00, 4, 1782295356.7194757
  0.00, 0.00, 4, 1782295356.7621047
  0.00, 0.00, 4, 1782295356.8622646
  0.00, 0.00, 4, 1782295356.8836222
  0.00, 0.00, 4, 1782295356.967413
  0.00, 0.00, 4, 1782295356.9993305
  0.00, 0.00, 4, 1782295357.0868573
  0.00, 0.00, 4, 1782295357.1200266
  0.00, 0.00, 4, 1782295357.204227
  0.00, 0.00, 4, 1782295357.257198
  0.00, 0.00, 4, 1782295357.3207886
  0.00, 0.00, 4, 1782295357.3634567
  0.00, 0.00, 4, 1782295357.4489014
  0.00, 0.00, 4, 1782295357.4981997
  0.00, 0.00, 4, 1782295357.5612197
  0.00, 0.00, 4, 1782295357.603666
  0.00, 0.00, 4, 1782295357.7119935
  0.00, 0.00, 4, 1782295357.724288
  0.00, 0.00, 4, 1782295357.8093252
  0.00, 0.00, 4, 1782295357.844343
  0.00, 0.00, 4, 1782295357.929542
  0.00, 0.00, 4, 1782295357.9610302
  0.00, 0.00, 4, 1782295358.045127
  0.00, 0.00, 4, 1782295358.087347
  0.00, 0.00, 4, 1782295358.1644146
  0.00, 0.00, 4, 1782295358.2063906
  0.00, 0.00, 4, 1782295358.280653
  0.00, 0.00, 4, 1782295358.3330266
  0.00, 0.00, 4, 1782295358.4068246
  0.00, 0.00, 4, 1782295358.4392452
  0.00, 0.00, 4, 1782295358.5226378
  0.00, 0.00, 4, 1782295358.57552
  0.00, 0.00, 4, 1782295358.6483407
  0.00, 0.00, 4, 1782295358.6800787
  0.00, 0.00, 4, 1782295358.7654538
  0.01, 0.00, 4, 1782295358.8079617
  0.28, 0.05, 4, 1782295358.8809836
  0.44, 0.08, 4, 1782295358.923904
  1.46, 0.25, 4, 1782295359.0127869
  2.48, 0.40, 4, 1782295359.044546
  4.08, 0.62, 4, 1782295359.1297235
  4.57, 0.69, 4, 1782295359.1615884
  4.84, 0.72, 4, 1782295359.2469661
  4.60, 0.70, 4, 1782295359.2902784
  4.07, 0.63, 4, 1782295359.3649168
  3.81, 0.59, 4, 1782295359.4500172
  3.56, 0.56, 4, 1782295359.4818573
  3.55, 0.55, 4, 1782295359.525764
  3.54, 0.55, 4, 1782295359.5995777
  3.54, 0.55, 4, 1782295359.6612191
  3.54, 0.55, 4, 1782295359.7237554
  3.58, 0.56, 4, 1782295359.7665913
  3.61, 0.56, 4, 1782295359.8463027
  3.61, 0.56, 4, 1782295359.8877857
  3.59, 0.56, 4, 1782295359.9620166
  3.60, 0.56, 4, 1782295360.0048308
  3.61, 0.56, 4, 1782295360.0819542
  3.61, 0.56, 4, 1782295360.1238918
  3.61, 0.56, 4, 1782295360.207293
  3.61, 0.56, 4, 1782295360.2385836
  3.61, 0.56, 4, 1782295360.319488
  3.61, 0.56, 4, 1782295360.362692
  3.61, 0.56, 4, 1782295360.445687
  3.61, 0.56, 4, 1782295360.492355
  3.61, 0.56, 4, 1782295360.566684
  3.61, 0.56, 4, 1782295360.608636
  3.61, 0.56, 4, 1782295360.6818867
  3.61, 0.56, 4, 1782295360.7397547
  3.61, 0.56, 4, 1782295360.8025787
  3.61, 0.56, 4, 1782295360.844861
  3.61, 0.56, 4, 1782295360.9614482
  3.61, 0.56, 4, 1782295360.9617023
  3.61, 0.56, 4, 1782295361.044798
  3.61, 0.56, 4, 1782295361.0872931
  3.61, 0.56, 4, 1782295361.1806643
  3.61, 0.56, 4, 1782295361.2020965
  3.61, 0.56, 4, 1782295361.2865684
  3.61, 0.56, 4, 1782295361.3288207
  3.61, 0.56, 4, 1782295361.408291
  3.61, 0.56, 4, 1782295361.4394596
  3.61, 0.56, 4, 1782295361.5228457
  3.61, 0.56, 4, 1782295361.5650933
  3.61, 0.56, 4, 1782295361.6451786
  3.61, 0.56, 4, 1782295361.6875296
  3.61, 0.56, 4, 1782295361.7617915
  3.61, 0.56, 4, 1782295361.8014662
  3.61, 0.56, 4, 1782295361.8865843
  3.61, 0.56, 4, 1782295361.9188402
  3.61, 0.56, 4, 1782295362.0129406
  3.61, 0.56, 4, 1782295362.0426252
  3.61, 0.56, 4, 1782295362.1272073
  3.61, 0.56, 4, 1782295362.159651
  3.61, 0.56, 4, 1782295362.2633178
  3.61, 0.56, 4, 1782295362.2844405
  3.61, 0.56, 4, 1782295362.369309
  3.61, 0.56, 4, 1782295362.4013083
  3.61, 0.56, 4, 1782295362.4825263
  3.61, 0.56, 4, 1782295362.5247874
  3.61, 0.56, 4, 1782295362.6110628
  3.61, 0.56, 4, 1782295362.6425345
  3.61, 0.56, 4, 1782295362.7192967
  3.61, 0.56, 4, 1782295362.7617688
  3.61, 0.56, 4, 1782295362.846692
  3.61, 0.56, 4, 1782295362.9121046
  3.61, 0.56, 4, 1782295362.9650652
  3.61, 0.56, 4, 1782295363.010266
  3.61, 0.56, 4, 1782295363.0969222
  3.61, 0.56, 4, 1782295363.1299741
  3.61, 0.56, 4, 1782295363.2041674
  3.61, 0.56, 4, 1782295363.246733
  3.61, 0.56, 4, 1782295363.3464878
  3.61, 0.56, 4, 1782295363.3675427
  3.61, 0.56, 4, 1782295363.4408684
  3.61, 0.56, 4, 1782295363.4843166
