  [2026-06-23T21:29:05.819258] I: {'ins_mode': 4, 'realtime_x': -5360.1, 'realtime_y': -141.82, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:05.861836] I: {'ins_mode': 4, 'realtime_x': -5391.06, 'realtime_y': -144.08, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:05.935394] I: {'ins_mode': 4, 'realtime_x': -5432.29, 'realtime_y': -146.93, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:06.035532] I: {'ins_mode': 4, 'realtime_x': -5484.44, 'realtime_y': -150.23, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:06.098283] I: {'ins_mode': 4, 'realtime_x': -5547.1, 'realtime_y': -153.85, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:06.175881] I: {'ins_mode': 4, 'realtime_x': -5622.13, 'realtime_y': -157.88, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:06.255732] I: {'ins_mode': 4, 'realtime_x': -5710.8, 'realtime_y': -162.34, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:06.341031] I: {'ins_mode': 4, 'realtime_x': -5810.2, 'realtime_y': -167.01, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:06.473658] I: {'ins_mode': 4, 'realtime_x': -5919.0, 'realtime_y': -171.82, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:06.494922] I: {'ins_mode': 4, 'realtime_x': -6030.58, 'realtime_y': -176.57, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:06.578982] I: {'ins_mode': 4, 'realtime_x': -6130.05, 'realtime_y': -182.11, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:06.703738] I: {'ins_mode': 4, 'realtime_x': -6207.73, 'realtime_y': -187.6, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:06.735048] I: {'ins_mode': 4, 'realtime_x': -6262.78, 'realtime_y': -191.05, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:06.831764] I: {'ins_mode': 4, 'realtime_x': -6301.32, 'realtime_y': -193.26, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:06.911950] I: {'ins_mode': 4, 'realtime_x': -6325.86, 'realtime_y': -194.66, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:06.975166] I: {'ins_mode': 4, 'realtime_x': -6339.86, 'realtime_y': -195.5, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:07.128153] I: {'ins_mode': 4, 'realtime_x': -6344.97, 'realtime_y': -195.82, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:07.138828] I: {'ins_mode': 4, 'realtime_x': -6340.81, 'realtime_y': -195.58, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:07.222361] I: {'ins_mode': 4, 'realtime_x': -6326.28, 'realtime_y': -194.83, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:07.351715] I: {'ins_mode': 4, 'realtime_x': -6299.8, 'realtime_y': -193.57, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:07.384692] I: {'ins_mode': 4, 'realtime_x': -6258.79, 'realtime_y': -191.64, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
