Ins Auto Telemetry Data Record
Record Time: 2026-06-24T20:01:01.121194
============================================================

Trajectory Points: 926
Waypoints: 528

Trajectory Points (x, y, mode, timestamp):
  10.64, 1.04, 4, 1782302255.2191117
  10.65, 1.04, 4, 1782302255.261605
  10.68, 1.04, 4, 1782302255.3491955
  10.68, 1.04, 4, 1782302255.3810806
  10.68, 1.05, 4, 1782302255.454023
  10.72, 1.05, 4, 1782302255.4965527
  10.85, 1.07, 4, 1782302255.588835
  10.90, 1.08, 4, 1782302255.6204488
  11.01, 1.10, 4, 1782302255.694172
  11.10, 1.11, 4, 1782302255.7367334
  11.34, 1.15, 4, 1782302255.8150697
  11.42, 1.17, 4, 1782302255.8581789
  11.78, 1.22, 4, 1782302255.9425647
  11.88, 1.23, 4, 1782302255.9737408
  12.12, 1.27, 4, 1782302256.059024
  12.26, 1.29, 4, 1782302256.1014962
  12.39, 1.31, 4, 1782302256.17562
  12.42, 1.32, 4, 1782302256.2331054
  12.63, 1.35, 4, 1782302256.296224
  12.64, 1.35, 4, 1782302256.3382897
  12.67, 1.36, 4, 1782302256.4258573
  12.73, 1.37, 4, 1782302256.462034
  12.88, 1.39, 4, 1782302256.5348237
  12.84, 1.38, 4, 1782302256.5772498
  12.86, 1.38, 4, 1782302256.6729856
  12.98, 1.40, 4, 1782302256.6941967
  13.44, 1.45, 4, 1782302256.777795
  13.64, 1.46, 4, 1782302256.8204427
  14.31, 1.50, 4, 1782302256.8952286
  14.38, 1.51, 4, 1782302256.938032
  14.96, 1.56, 4, 1782302257.0223973
  15.51, 1.62, 4, 1782302257.055076
  16.27, 1.72, 4, 1782302257.135749
  16.74, 1.79, 4, 1782302257.1781263
  17.50, 1.92, 4, 1782302257.262014
  17.74, 1.96, 4, 1782302257.2985935
  17.70, 1.95, 4, 1782302257.382719
  17.66, 1.95, 4, 1782302257.4142506
  17.41, 1.92, 4, 1782302257.507664
  17.32, 1.91, 4, 1782302257.540362
  17.40, 1.91, 4, 1782302257.6236172
  17.58, 1.92, 4, 1782302257.6591234
  18.45, 1.97, 4, 1782302257.7588642
  19.04, 2.01, 4, 1782302257.7798731
  20.99, 2.17, 4, 1782302257.862904
  21.32, 2.20, 4, 1782302257.8947325
  21.33, 2.20, 4, 1782302257.982815
  21.24, 2.19, 4, 1782302258.0147471
  21.16, 2.18, 4, 1782302258.0985892
  21.15, 2.18, 4, 1782302258.141115
  21.16, 2.18, 4, 1782302258.216226
  21.56, 2.23, 4, 1782302258.257848
  22.80, 2.36, 4, 1782302258.3418188
  23.40, 2.43, 4, 1782302258.3829832
  24.67, 2.61, 4, 1782302258.4568365
  25.18, 2.67, 4, 1782302258.4993463
  25.53, 2.72, 4, 1782302258.5829234
  25.56, 2.72, 4, 1782302258.6245432
  25.63, 2.73, 4, 1782302258.6979809
  25.67, 2.74, 4, 1782302258.7418873
  25.67, 2.74, 4, 1782302258.8426008
