Ins Auto Telemetry Data Record
Record Time: 2026-06-22T19:27:26.392128
============================================================

Trajectory Points: 238
Waypoints: 142

Trajectory Points (x, y, mode, timestamp):
  0.00, 0.00, 4, 1782127618.0421476
  0.00, 0.00, 4, 1782127618.0527112
  -3.66, 0.02, 4, 1782127618.137873
  -10.27, 0.04, 4, 1782127618.2125516
  -11.44, 0.02, 4, 1782127618.2934997
  -10.50, 0.05, 4, 1782127618.3772686
  -9.89, 0.07, 4, 1782127618.4892352
  -9.71, 0.08, 4, 1782127618.5316272
  -9.65, 0.08, 4, 1782127618.6147215
  -9.54, 0.08, 4, 1782127618.6937807
  -9.47, 0.08, 4, 1782127618.7784925
  -9.47, 0.08, 4, 1782127618.8545148
  -9.62, 0.08, 4, 1782127618.932786
  -9.60, 0.08, 4, 1782127619.0170891
  -9.41, 0.08, 4, 1782127619.0991964
  -9.31, 0.09, 4, 1782127619.1721463
  -9.31, 0.09, 4, 1782127619.2570097
  -9.31, 0.09, 4, 1782127619.343444
  -9.31, 0.09, 4, 1782127619.4164617
  -9.07, 0.09, 4, 1782127619.4902284
  -8.67, 0.10, 4, 1782127619.5709972
  -8.40, 0.11, 4, 1782127619.6545088
  -8.26, 0.11, 4, 1782127619.7657287
  -8.26, 0.11, 4, 1782127619.8177884
  -8.27, 0.11, 4, 1782127619.8914766
  -8.43, 0.11, 4, 1782127619.9831927
  -8.62, 0.10, 4, 1782127620.0568993
  -8.74, 0.10, 4, 1782127620.1406388
  -8.74, 0.10, 4, 1782127620.2097557
  -8.72, 0.10, 4, 1782127620.293557
  -8.66, 0.10, 4, 1782127620.3907046
  -8.40, 0.11, 4, 1782127620.4595716
  -8.05, 0.11, 4, 1782127620.5324934
  -7.73, 0.12, 4, 1782127620.6139598
  -7.33, 0.13, 4, 1782127620.6987693
  -7.25, 0.13, 4, 1782127620.7718313
  -7.33, 0.13, 4, 1782127620.860738
  -7.34, 0.13, 4, 1782127620.9341502
  -7.34, 0.13, 4, 1782127621.0181086
  -7.34, 0.13, 4, 1782127621.0905702
  -7.34, 0.13, 4, 1782127621.173406
  -7.34, 0.13, 4, 1782127621.2889504
  -7.34, 0.13, 4, 1782127621.3313663
  -7.34, 0.13, 4, 1782127621.4157262
  -7.34, 0.13, 4, 1782127621.5062435
  -7.34, 0.13, 4, 1782127621.57847
  -7.34, 0.13, 4, 1782127621.6532009
  -7.34, 0.13, 4, 1782127621.7338977
  -7.34, 0.13, 4, 1782127621.8173544
  -7.34, 0.13, 4, 1782127621.8910482
  -7.34, 0.13, 4, 1782127621.9762564
  -7.34, 0.13, 4, 1782127622.060327
  -7.34, 0.13, 4, 1782127622.1423092
  -7.34, 0.13, 4, 1782127622.215886
  -7.28, 0.13, 4, 1782127622.3006015
  -7.33, 0.13, 4, 1782127622.3786101
  -7.39, 0.13, 4, 1782127622.4520187
  -7.31, 0.13, 4, 1782127622.5458903
  -7.25, 0.13, 4, 1782127622.6130836
  -7.25, 0.13, 4, 1782127622.6964781
  -7.25, 0.13, 4, 1782127622.7924821
  -7.25, 0.13, 4, 1782127622.855983
  -7.33, 0.13, 4, 1782127622.9398537
  -1.14, 0.40, 4, 1782127623.0101748
  -0.31, 0.47, 4, 1782127623.0946445
  -2.43, 0.46, 4, 1782127623.1881819
  -3.59, 0.47, 4, 1782127623.2522354
  -3.74, 0.47, 4, 1782127623.3380017
  -3.59, 0.47, 4, 1782127623.4112563
  -3.45, 0.48, 4, 1782127623.4949179
  -3.27, 0.48, 4, 1782127623.5787349
  -3.27, 0.48, 4, 1782127623.659313
  -2.99, 0.48, 4, 1782127623.7330174
  -2.44, 0.49, 4, 1782127623.8164194
  -2.23, 0.49, 4, 1782127623.892033
  -2.38, 0.49, 4, 1782127623.9757333
  -2.55, 0.49, 4, 1782127624.0687537
  -2.65, 0.49, 4, 1782127624.1323316
  -2.73, 0.49, 4, 1782127624.2187421
  -2.91, 0.49, 4, 1782127624.3053505
  -3.31, 0.51, 4, 1782127624.3787887
  -3.67, 0.52, 4, 1782127624.4519384
  -3.91, 0.53, 4, 1782127624.5379338
  -3.90, 0.53, 4, 1782127624.6114225
  -3.63, 0.52, 4, 1782127624.7026808
  -3.75, 0.53, 4, 1782127624.7761493
  -3.99, 0.54, 4, 1782127624.8596938
  -4.06, 0.54, 4, 1782127624.9390936
  -3.88, 0.53, 4, 1782127625.0134082
  -3.72, 0.51, 4, 1782127625.089777
  -3.26, 0.47, 4, 1782127625.1809745
  -2.05, 0.33, 4, 1782127625.2551246
  0.21, 0.10, 4, 1782127625.3460655
  3.42, -0.14, 4, 1782127625.4211736
  7.54, -0.38, 4, 1782127625.4937608
  13.16, -0.61, 4, 1782127625.5928957
  20.39, -0.76, 4, 1782127625.6568172
  28.92, -0.71, 4, 1782127625.7325056
  38.34, -0.34, 4, 1782127625.8134668
  48.73, 0.17, 4, 1782127625.8983753
  60.03, 0.54, 4, 1782127625.9728305
  71.81, 0.56, 4, 1782127626.0597818
  84.17, 0.18, 4, 1782127626.1338513
  96.36, -0.47, 4, 1782127626.2152884
  108.33, -1.27, 4, 1782127626.2969475
  120.45, -2.32, 4, 1782127626.3720357
  132.92, -3.68, 4, 1782127626.4675007
  145.99, -5.35, 4, 1782127626.5312963
  159.02, -7.04, 4, 1782127626.6161196
  172.33, -8.67, 4, 1782127626.6987607
  186.24, -10.21, 4, 1782127626.7728808
  201.52, -11.85, 4, 1782127626.907926
  217.76, -13.58, 4, 1782127626.941508
  234.96, -15.25, 4, 1782127627.015298
  252.88, -16.73, 4, 1782127627.1109266
  271.17, -17.76, 4, 1782127627.1798918
  289.29, -18.23, 4, 1782127627.2538543
  307.71, -18.38, 4, 1782127627.3401327
  326.75, -18.54, 4, 1782127627.4240394
  346.20, -18.94, 4, 1782127627.498827
  366.17, -19.65, 4, 1782127627.6125805
  386.52, -20.53, 4, 1782127627.6552868
  407.07, -21.58, 4, 1782127627.73992
  427.77, -22.79, 4, 1782127627.8466818
  448.50, -24.00, 4, 1782127627.8996654
  468.52, -25.15, 4, 1782127627.9730315
  488.03, -26.37, 4, 1782127628.087988
  507.39, -27.57, 4, 1782127628.1406817
  526.64, -28.58, 4, 1782127628.2144122
  546.24, -29.26, 4, 1782127628.3332818
  566.29, -29.50, 4, 1782127628.3767529
  586.19, -29.51, 4, 1782127628.4615166
  605.82, -29.56, 4, 1782127628.563949
  624.27, -29.66, 4, 1782127628.6168575
  640.53, -29.67, 4, 1782127628.702533
  654.61, -29.58, 4, 1782127628.8091285
  667.15, -29.42, 4, 1782127628.882894
  678.78, -29.27, 4, 1782127628.9364111
  689.45, -29.24, 4, 1782127629.0602822
  698.89, -29.34, 4, 1782127629.1047628
  707.26, -29.52, 4, 1782127629.1802197
  714.50, -29.76, 4, 1782127629.2615607
  720.67, -29.99, 4, 1782127629.3345747
  725.71, -30.17, 4, 1782127629.4207003
  729.82, -30.26, 4, 1782127629.5107985
  733.01, -30.29, 4, 1782127629.5747535
  735.28, -30.28, 4, 1782127629.6585004
  736.86, -30.25, 4, 1782127629.830598
  738.03, -30.23, 4, 1782127629.8341124
  738.70, -30.22, 4, 1782127629.897717
  739.29, -30.22, 4, 1782127630.0218225
  739.84, -30.22, 4, 1782127630.088105
  740.09, -30.23, 4, 1782127630.140993
  740.05, -30.23, 4, 1782127630.3509161
  740.03, -30.23, 4, 1782127630.3541546
  739.98, -30.23, 4, 1782127630.3649023
  739.47, -30.22, 4, 1782127630.4595046
  738.93, -30.21, 4, 1782127630.5615757
  738.80, -30.20, 4, 1782127630.625748
  738.85, -30.20, 4, 1782127630.699861
  738.99, -30.21, 4, 1782127630.8930411
  739.37, -30.21, 4, 1782127630.8962858
  739.37, -30.21, 4, 1782127630.9384584
  738.93, -30.20, 4, 1782127631.021494
  738.81, -30.19, 4, 1782127631.1641848
  738.91, -30.20, 4, 1782127631.1762073
  739.44, -30.21, 4, 1782127631.2598062
  739.39, -30.21, 4, 1782127631.3679132
  738.86, -30.19, 4, 1782127631.4439802
  738.77, -30.19, 4, 1782127631.4974809
  738.80, -30.19, 4, 1782127631.6337895
  738.78, -30.19, 4, 1782127631.7054768
  738.75, -30.19, 4, 1782127631.7371945
  738.73, -30.19, 4, 1782127631.8208995
  738.73, -30.19, 4, 1782127631.9758437
  738.73, -30.19, 4, 1782127631.9805372
  738.73, -30.19, 4, 1782127632.05454
  738.73, -30.19, 4, 1782127632.200334
  738.73, -30.19, 4, 1782127632.278179
  738.73, -30.19, 4, 1782127632.3002055
  738.73, -30.19, 4, 1782127632.3736777
  738.73, -30.19, 4, 1782127632.4952767
  738.72, -30.19, 4, 1782127632.575475
  738.53, -30.18, 4, 1782127632.618336
  738.43, -30.18, 4, 1782127632.6926959
  738.43, -30.18, 4, 1782127632.779817
  738.43, -30.18, 4, 1782127632.868385
  738.43, -30.18, 4, 1782127632.941639
  738.43, -30.18, 4, 1782127633.0645819
  738.49, -30.18, 4, 1782127633.144746
  738.51, -30.18, 4, 1782127633.1761336
  738.51, -30.18, 4, 1782127633.2611215
  738.51, -30.18, 4, 1782127633.3477266
  738.51, -30.18, 4, 1782127633.438467
  738.51, -30.18, 4, 1782127633.5017612
  738.53, -30.18, 4, 1782127633.7308912
  738.67, -30.19, 4, 1782127633.734432
  738.85, -30.20, 4, 1782127633.737715
  738.91, -30.20, 4, 1782127633.8224423
  738.57, -30.19, 4, 1782127633.940228
  738.37, -30.18, 4, 1782127634.0187619
  738.16, -30.17, 4, 1782127634.0619373
  738.17, -30.17, 4, 1782127634.1378365
  738.33, -30.18, 4, 1782127634.3306837
  738.59, -30.19, 4, 1782127634.334713
  738.70, -30.20, 4, 1782127634.3766878
  738.78, -30.20, 4, 1782127634.622803
  738.88, -30.21, 4, 1782127634.6259322
  738.88, -30.21, 4, 1782127634.6278362
  738.91, -30.21, 4, 1782127634.7006328
  738.81, -30.20, 4, 1782127634.962589
  738.61, -30.20, 4, 1782127634.9669254
  738.53, -30.19, 4, 1782127634.970284
  738.53, -30.19, 4, 1782127635.0126336
  738.33, -30.19, 4, 1782127635.2710896
  738.03, -30.18, 4, 1782127635.2747035
  737.84, -30.17, 4, 1782127635.276813
  737.81, -30.17, 4, 1782127635.339665
  737.81, -30.17, 4, 1782127635.497769
  737.84, -30.17, 4, 1782127635.5986052
  737.84, -30.17, 4, 1782127635.60118
  737.90, -30.17, 4, 1782127635.6535535
  737.90, -30.17, 4, 1782127635.9221513
  737.87, -30.17, 4, 1782127635.9243746
  737.84, -30.17, 4, 1782127635.9353588
  737.84, -30.17, 4, 1782127635.9773314
  737.84, -30.17, 4, 1782127636.1533065
  737.84, -30.17, 4, 1782127636.2479513
  737.84, -30.17, 4, 1782127636.477477
  737.84, -30.17, 4, 1782127636.5769475
  737.84, -30.17, 4, 1782127636.5790188
  737.84, -30.17, 4, 1782127636.5809834
  737.84, -30.17, 4, 1782127636.5829206
  737.84, -30.17, 4, 1782127636.6150692
  737.81, -30.17, 4, 1782127636.917523
  737.60, -30.16, 4, 1782127636.922982
  737.30, -30.14, 4, 1782127636.9250565
  737.20, -30.13, 4, 1782127636.9353776

Waypoints (x, y):
  #1: 20.39, -0.76
  #2: 20.39, -0.76
  #3: 20.39, -0.76
  #4: 20.39, -0.76
  #5: 20.39, -0.76
  #6: 62.37, 0.58
  #7: 62.37, 0.58
  #8: 62.37, 0.58
  #9: 103.54, -0.93
  #10: 103.54, -0.93
  #11: 103.54, -0.93
  #12: 143.36, -5.00
  #13: 143.36, -5.00
  #14: 143.36, -5.00
  #15: 183.40, -9.91
  #16: 183.40, -9.91
  #17: 183.40, -9.91
  #18: 224.51, -14.26
  #19: 224.51, -14.26
  #20: 267.53, -17.61
  #21: 267.53, -17.61
  #22: 307.71, -18.38
  #23: 307.71, -18.38
  #24: 307.71, -18.38
  #25: 350.17, -19.06
  #26: 350.17, -19.06
  #27: 390.61, -20.72
  #28: 390.61, -20.72
  #29: 431.95, -23.04
  #30: 431.95, -23.04
  #31: 472.48, -25.39
  #32: 472.48, -25.39
  #33: 515.04, -28.01
  #34: 515.04, -28.01
  #35: 558.22, -29.45
  #36: 558.22, -29.45
  #37: 601.97, -29.54
  #38: 601.97, -29.54
  #39: 601.97, -29.54
  #40: 643.49, -29.66
  #41: 643.49, -29.66
  #42: 643.49, -29.66
  #43: 685.33, -29.23
  #44: 685.33, -29.23
  #45: 685.33, -29.23
  #46: 685.33, -29.23
  #47: 685.33, -29.23
  #48: 725.71, -30.17
  #49: 725.71, -30.17
  #50: 725.71, -30.17
  #51: 725.71, -30.17
  #52: 725.71, -30.17
  #53: 725.71, -30.17
  #54: 725.71, -30.17
  #55: 725.71, -30.17
  #56: 725.71, -30.17
  #57: 725.71, -30.17
  #58: 725.71, -30.17
  #59: 725.71, -30.17
  #60: 725.71, -30.17
  #61: 725.71, -30.17
  #62: 725.71, -30.17
  #63: 725.71, -30.17
  #64: 725.71, -30.17
  #65: 725.71, -30.17
  #66: 725.71, -30.17
  #67: 725.71, -30.17
  #68: 725.71, -30.17
  #69: 725.71, -30.17
  #70: 725.71, -30.17
  #71: 725.71, -30.17
  #72: 725.71, -30.17
  #73: 725.71, -30.17
  #74: 725.71, -30.17
  #75: 725.71, -30.17
  #76: 725.71, -30.17
  #77: 725.71, -30.17
  #78: 725.71, -30.17
  #79: 725.71, -30.17
  #80: 725.71, -30.17
  #81: 725.71, -30.17
  #82: 725.71, -30.17
  #83: 725.71, -30.17
  #84: 725.71, -30.17
  #85: 725.71, -30.17
  #86: 725.71, -30.17
  #87: 725.71, -30.17
  #88: 725.71, -30.17
  #89: 725.71, -30.17
  #90: 725.71, -30.17
  #91: 725.71, -30.17
  #92: 725.71, -30.17
  #93: 725.71, -30.17
  #94: 725.71, -30.17
  #95: 725.71, -30.17
  #96: 725.71, -30.17
  #97: 725.71, -30.17
  #98: 725.71, -30.17
  #99: 725.71, -30.17
