Ins Auto Telemetry Data Record
Record Time: 2026-06-22T19:07:13.255674
============================================================

Trajectory Points: 573
Waypoints: 299

Trajectory Points (x, y, mode, timestamp):
  0.00, 0.00, 4, 1782126260.2982593
  0.08, -0.00, 4, 1782126260.3300636
  -3.98, 0.02, 4, 1782126260.4096642
  -9.28, 0.10, 4, 1782126260.4756932
  -9.69, 0.12, 4, 1782126260.5773084
  -8.83, 0.08, 4, 1782126260.6418514
  -7.95, 0.05, 4, 1782126260.7126088
  -7.95, 0.05, 4, 1782126260.8016436
  -7.94, 0.04, 4, 1782126260.8764145
  -7.82, 0.04, 4, 1782126260.9560122
  -7.58, 0.03, 4, 1782126261.0324314
  -7.50, 0.03, 4, 1782126261.132633
  -7.50, 0.03, 4, 1782126261.2017093
  -7.50, 0.03, 4, 1782126261.2717245
  -7.49, 0.03, 4, 1782126261.3614593
  -7.49, 0.03, 4, 1782126261.4490004
  -7.49, 0.03, 4, 1782126261.51744
  -7.49, 0.03, 4, 1782126261.5957825
  -7.49, 0.03, 4, 1782126261.6766143
  -7.49, 0.03, 4, 1782126261.7526097
  -7.49, 0.03, 4, 1782126261.8341725
  -7.49, 0.03, 4, 1782126261.9189482
  -7.49, 0.03, 4, 1782126262.0010762
  -7.49, 0.03, 4, 1782126262.0796657
  -7.49, 0.03, 4, 1782126262.1594756
  -7.49, 0.03, 4, 1782126262.2513914
  -7.49, 0.03, 4, 1782126262.3177996
  -7.44, 0.02, 4, 1782126262.3944576
  -7.50, 0.03, 4, 1782126262.4764142
  -7.76, 0.04, 4, 1782126262.5504148
  -7.81, 0.04, 4, 1782126262.6383033
  -7.76, 0.04, 4, 1782126262.7183306
  0.00, 0.00, 4, 1782126291.214845
  0.00, 0.00, 4, 1782126291.2640333
  -0.51, -0.01, 4, 1782126291.3241756
  -2.34, -0.04, 4, 1782126291.3831627
  -2.35, -0.04, 4, 1782126291.4727757
  -3.28, -0.05, 4, 1782126291.54164
  -3.44, -0.06, 4, 1782126291.622117
  -3.23, -0.05, 4, 1782126291.7069933
  -3.10, -0.05, 4, 1782126291.7863379
  -3.06, -0.05, 4, 1782126291.8683817
  -3.23, -0.05, 4, 1782126291.9483073
  -3.25, -0.05, 4, 1782126292.037083
  -3.09, -0.05, 4, 1782126292.107163
  -2.93, -0.05, 4, 1782126292.1854928
  -2.80, -0.05, 4, 1782126292.2759826
  -2.78, -0.05, 4, 1782126292.3469787
  -2.78, -0.05, 4, 1782126292.4250174
  -2.78, -0.05, 4, 1782126292.5152898
  -2.78, -0.05, 4, 1782126292.584622
  -2.78, -0.05, 4, 1782126292.671569
  -2.78, -0.05, 4, 1782126292.7440524
  -2.78, -0.05, 4, 1782126292.8334851
  -2.82, -0.05, 4, 1782126292.9050956
  -2.82, -0.05, 4, 1782126292.987029
  -2.82, -0.05, 4, 1782126293.0640225
  -2.82, -0.05, 4, 1782126293.1541362
  -2.82, -0.05, 4, 1782126293.2239609
  -2.74, -0.05, 4, 1782126293.3033319
  -2.67, -0.05, 4, 1782126293.4021418
  -2.64, -0.05, 4, 1782126293.4702914
  -2.64, -0.05, 4, 1782126293.547534
  -2.66, -0.05, 4, 1782126293.6378467
  -2.67, -0.05, 4, 1782126293.719433
  -2.66, -0.05, 4, 1782126293.7833443
  -2.66, -0.05, 4, 1782126293.8714058
  -2.66, -0.05, 4, 1782126293.94388
  -2.66, -0.05, 4, 1782126294.035948
  -2.66, -0.05, 4, 1782126294.104907
  -2.66, -0.05, 4, 1782126294.1827211
  -2.66, -0.05, 4, 1782126294.2676573
  -2.66, -0.05, 4, 1782126294.357482
  -2.66, -0.05, 4, 1782126294.4257562
  -2.66, -0.05, 4, 1782126294.5202637
  -2.66, -0.05, 4, 1782126294.5853758
  -2.66, -0.05, 4, 1782126294.6704202
  -2.66, -0.05, 4, 1782126294.7468028
  -2.66, -0.05, 4, 1782126294.8265796
  -2.66, -0.05, 4, 1782126294.9156096
  -2.66, -0.05, 4, 1782126294.9859874
  -2.66, -0.05, 4, 1782126295.0653567
  -2.66, -0.05, 4, 1782126295.1529448
  -2.66, -0.05, 4, 1782126295.2338967
  -2.66, -0.05, 4, 1782126295.3111527
  -2.66, -0.05, 4, 1782126295.3907938
  -2.66, -0.05, 4, 1782126295.4672766
  -2.66, -0.05, 4, 1782126295.5613348
  -2.66, -0.05, 4, 1782126295.6294882
  -2.66, -0.05, 4, 1782126295.7079973
  -2.66, -0.05, 4, 1782126295.7999134
  -2.66, -0.05, 4, 1782126295.8686984
  -2.66, -0.05, 4, 1782126295.9583862
  -2.66, -0.05, 4, 1782126296.0217726
  -2.66, -0.05, 4, 1782126296.1143982
  -2.66, -0.05, 4, 1782126296.1921031
  -2.66, -0.05, 4, 1782126296.2814445
  -2.66, -0.05, 4, 1782126296.3566656
  -2.66, -0.05, 4, 1782126296.4309325
  -2.66, -0.05, 4, 1782126296.5033839
  -2.69, -0.05, 4, 1782126296.5987816
  -2.70, -0.05, 4, 1782126296.666809
  -2.70, -0.05, 4, 1782126296.745624
  -2.70, -0.05, 4, 1782126296.824762
  -2.70, -0.05, 4, 1782126296.9105437
  -2.61, -0.05, 4, 1782126296.9909647
  -2.48, -0.05, 4, 1782126297.0687747
  -2.32, -0.06, 4, 1782126297.157045
  -2.26, -0.06, 4, 1782126297.2274857
  -2.26, -0.06, 4, 1782126297.3088093
  -2.26, -0.06, 4, 1782126297.3833833
  -2.26, -0.06, 4, 1782126297.4744506
  -2.29, -0.06, 4, 1782126297.5456705
  -2.29, -0.06, 4, 1782126297.6292706
  -2.22, -0.06, 4, 1782126297.7156327
  -2.21, -0.06, 4, 1782126297.7823555
  -2.21, -0.06, 4, 1782126297.870959
  -2.21, -0.06, 4, 1782126297.945966
  -2.19, -0.06, 4, 1782126298.0397217
  -2.19, -0.06, 4, 1782126298.1071198
  -2.19, -0.06, 4, 1782126298.1999443
  -2.19, -0.06, 4, 1782126298.2750695
  -2.19, -0.06, 4, 1782126298.3795912
  -2.19, -0.06, 4, 1782126298.4408505
  -2.19, -0.06, 4, 1782126298.513603
  -2.19, -0.06, 4, 1782126298.584122
  -2.19, -0.06, 4, 1782126298.6695282
  -2.19, -0.06, 4, 1782126298.7460954
  -2.19, -0.06, 4, 1782126298.8296168
  -2.19, -0.06, 4, 1782126298.9187918
  -2.19, -0.06, 4, 1782126298.9905963
  -2.19, -0.06, 4, 1782126299.066613
  -2.19, -0.06, 4, 1782126299.1529298
  -2.19, -0.06, 4, 1782126299.2312245
  -2.19, -0.06, 4, 1782126299.3086743
  -2.19, -0.06, 4, 1782126299.3970997
  -2.19, -0.06, 4, 1782126299.4689507
  -2.19, -0.06, 4, 1782126299.543107
  -2.19, -0.06, 4, 1782126299.6464207
  -2.19, -0.06, 4, 1782126299.719249
  -2.19, -0.06, 4, 1782126299.7840092
  -2.22, -0.06, 4, 1782126299.864589
  -2.22, -0.06, 4, 1782126299.9463315
  -2.22, -0.06, 4, 1782126300.034382
  -2.22, -0.06, 4, 1782126300.115952
  -2.22, -0.06, 4, 1782126300.1937525
  -2.19, -0.06, 4, 1782126300.2662463
  -2.19, -0.06, 4, 1782126300.360561
  -2.19, -0.06, 4, 1782126300.4302592
  -2.19, -0.06, 4, 1782126300.509273
  -2.19, -0.06, 4, 1782126300.5846431
  -2.19, -0.06, 4, 1782126300.6733863
  -2.19, -0.06, 4, 1782126300.7521162
  -2.19, -0.06, 4, 1782126300.8317397
  -2.19, -0.06, 4, 1782126300.9059174
  -2.19, -0.06, 4, 1782126300.9860938
  -2.19, -0.06, 4, 1782126301.074771
  -2.19, -0.06, 4, 1782126301.1487966
  -2.19, -0.06, 4, 1782126301.2276165
  -2.19, -0.06, 4, 1782126301.3053243
  -2.19, -0.06, 4, 1782126301.4039667
  -2.19, -0.06, 4, 1782126301.4713223
  -2.19, -0.06, 4, 1782126301.548751
  -2.19, -0.06, 4, 1782126301.6236842
  -2.19, -0.06, 4, 1782126301.7105875
  -2.19, -0.06, 4, 1782126301.789478
  -2.19, -0.06, 4, 1782126301.8847206
  -2.19, -0.06, 4, 1782126301.9530206
  -2.19, -0.06, 4, 1782126302.0303805
  -2.19, -0.06, 4, 1782126302.1113548
  -2.19, -0.06, 4, 1782126302.1931689
  -2.19, -0.06, 4, 1782126302.2701786
  -2.19, -0.06, 4, 1782126302.348455
  -2.19, -0.06, 4, 1782126302.4297974
  -2.19, -0.06, 4, 1782126302.509686
  -2.19, -0.06, 4, 1782126302.6004677
  -2.19, -0.06, 4, 1782126302.6747453
  -2.19, -0.06, 4, 1782126302.751384
  -2.19, -0.06, 4, 1782126302.8405292
  -2.19, -0.06, 4, 1782126302.920015
  -2.19, -0.06, 4, 1782126302.9894469
  -2.19, -0.06, 4, 1782126303.0689356
  -2.19, -0.06, 4, 1782126303.1599045
  -2.19, -0.06, 4, 1782126303.228817
  -2.19, -0.06, 4, 1782126303.3133616
  -2.19, -0.06, 4, 1782126303.3899922
  -2.19, -0.06, 4, 1782126303.467584
  -2.19, -0.06, 4, 1782126303.5559256
