Ins Auto Telemetry Data Record
Record Time: 2026-06-23T21:30:50.434808
============================================================

Trajectory Points: 0
Waypoints: 0

Trajectory Points (x, y, mode, timestamp):

Waypoints (x, y):

Raw Data Log:
  [2026-06-23T21:29:11.492104] I: {'ins_mode': 4, 'realtime_x': -204.64, 'realtime_y': -225.19, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:11.534963] I: {'ins_mode': 4, 'realtime_x': -95.54, 'realtime_y': -226.82, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:11.695897] I: {'ins_mode': 4, 'realtime_x': -6.99, 'realtime_y': -227.61, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:11.696027] I: {'ins_mode': 4, 'realtime_x': 51.17, 'realtime_y': -227.73, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:11.779793] I: {'ins_mode': 4, 'realtime_x': 72.16, 'realtime_y': -227.71, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:11.904756] I: {'ins_mode': 4, 'realtime_x': 58.34, 'realtime_y': -227.74, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:11.936137] I: {'ins_mode': 4, 'realtime_x': 17.64, 'realtime_y': -227.55, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:12.020398] I: {'ins_mode': 4, 'realtime_x': -39.91, 'realtime_y': -226.64, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:12.115536] I: {'ins_mode': 4, 'realtime_x': -109.22, 'realtime_y': -224.67, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:12.178354] I: {'ins_mode': 4, 'realtime_x': -189.12, 'realtime_y': -222.05, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:12.343428] I: {'ins_mode': 4, 'realtime_x': -279.01, 'realtime_y': -219.36, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:12.343982] I: {'ins_mode': 4, 'realtime_x': -374.07, 'realtime_y': -216.92, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:12.416791] I: {'ins_mode': 4, 'realtime_x': -478.33, 'realtime_y': -213.87, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:12.552747] I: {'ins_mode': 4, 'realtime_x': -586.45, 'realtime_y': -209.99, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:12.584362] I: {'ins_mode': 4, 'realtime_x': -693.38, 'realtime_y': -205.95, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:12.658541] I: {'ins_mode': 4, 'realtime_x': -798.09, 'realtime_y': -202.43, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:12.764944] I: {'ins_mode': 4, 'realtime_x': -901.52, 'realtime_y': -200.0, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:12.817590] I: {'ins_mode': 4, 'realtime_x': -998.82, 'realtime_y': -199.26, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:12.988116] I: {'ins_mode': 4, 'realtime_x': -1081.15, 'realtime_y': -202.85, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:12.988398] I: {'ins_mode': 4, 'realtime_x': -1144.31, 'realtime_y': -210.2, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:13.061869] I: {'ins_mode': 4, 'realtime_x': -1193.34, 'realtime_y': -219.62, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:13.204440] I: {'ins_mode': 4, 'realtime_x': -1228.98, 'realtime_y': -228.51, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:13.214962] I: {'ins_mode': 4, 'realtime_x': -1249.17, 'realtime_y': -234.7, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:13.298774] I: {'ins_mode': 4, 'realtime_x': -1253.79, 'realtime_y': -236.31, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:13.419905] I: {'ins_mode': 4, 'realtime_x': -1243.29, 'realtime_y': -231.86, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:13.461966] I: {'ins_mode': 4, 'realtime_x': -1221.06, 'realtime_y': -220.92, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:13.534708] I: {'ins_mode': 4, 'realtime_x': -1198.18, 'realtime_y': -207.81, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
