Ins Auto Telemetry Data Record
Record Time: 2026-06-23T21:34:16.557084
============================================================

Trajectory Points: 459
Waypoints: 218

Trajectory Points (x, y, mode, timestamp):
  -0.48, 0.00, 4, 1782221472.1441488
  -2.77, 0.01, 4, 1782221472.1647668
  -4.22, 0.04, 4, 1782221472.249861
  -3.97, 0.03, 4, 1782221472.3678682
  -3.33, 0.02, 4, 1782221472.3990803
  -2.82, 0.01, 4, 1782221472.5794156
  -2.75, 0.01, 4, 1782221472.5796196
  -2.67, 0.01, 4, 1782221472.643019
  -2.40, 0.00, 4, 1782221472.8000486
  -1.94, -0.01, 4, 1782221472.802213
  -1.74, -0.01, 4, 1782221472.8974385
  -1.73, -0.01, 4, 1782221473.0204809
  -1.73, -0.01, 4, 1782221473.0413337
  -1.73, -0.01, 4, 1782221473.1189842
  -1.73, -0.01, 4, 1782221473.2359862
  -1.73, -0.01, 4, 1782221473.2793887
  -1.73, -0.01, 4, 1782221473.4586527
  -1.73, -0.01, 4, 1782221473.458802
  -1.73, -0.01, 4, 1782221473.5213835
  -1.73, -0.01, 4, 1782221473.6706965
  -1.73, -0.01, 4, 1782221473.6814404
  -1.73, -0.01, 4, 1782221473.777066
  -1.73, -0.01, 4, 1782221473.8851898
  -1.73, -0.01, 4, 1782221473.9175394
  -1.66, -0.01, 4, 1782221474.102823
  -1.66, -0.01, 4, 1782221474.1030962
  -1.66, -0.01, 4, 1782221474.1657093
  -1.66, -0.01, 4, 1782221474.31847
  -1.66, -0.01, 4, 1782221474.3187299
  -1.63, -0.01, 4, 1782221474.40296
  -1.63, -0.01, 4, 1782221474.547724
  -1.66, -0.01, 4, 1782221474.558498
  -1.66, -0.01, 4, 1782221474.652812
  -1.66, -0.01, 4, 1782221474.7567692
  -1.65, -0.01, 4, 1782221474.798834
  -1.66, -0.01, 4, 1782221474.9807913
  -1.68, -0.01, 4, 1782221474.981234
  -1.68, -0.01, 4, 1782221475.0469398
  -1.63, -0.01, 4, 1782221475.1947825
  -1.66, -0.01, 4, 1782221475.2057366
  -1.68, -0.01, 4, 1782221475.2787507
  -1.68, -0.01, 4, 1782221475.4129817
  -1.68, -0.01, 4, 1782221475.4448566
  -1.68, -0.01, 4, 1782221475.5205965
  -1.68, -0.01, 5, 1782221475.6284559
  -1.63, -0.01, 5, 1782221475.6814492
  -1.63, -0.01, 5, 1782221475.8508239
  -1.63, -0.01, 5, 1782221475.8515933
  -1.63, -0.01, 5, 1782221475.9254577
  -1.63, -0.01, 5, 1782221476.0639625
  -1.63, -0.01, 5, 1782221476.0850255
  -1.63, -0.01, 5, 1782221476.1688313
  -1.63, -0.01, 5, 1782221476.2809587
  -1.63, -0.01, 5, 1782221476.3240232
  -1.63, -0.01, 5, 1782221476.5209448
  -1.63, -0.01, 5, 1782221476.521157
  -1.63, -0.01, 5, 1782221476.5638208
  -1.63, -0.01, 5, 1782221476.7216377
  -1.63, -0.01, 5, 1782221476.7241578
  -1.63, -0.01, 5, 1782221476.7980485
  -1.63, -0.01, 5, 1782221476.939361
  -1.63, -0.01, 5, 1782221476.9607768
  -1.63, -0.01, 5, 1782221477.044723
  -1.63, -0.01, 5, 1782221477.1584954
  -1.63, -0.01, 5, 1782221477.2008631
  -1.63, -0.01, 5, 1782221477.3841293
  -1.63, -0.01, 5, 1782221477.384284
  -1.63, -0.01, 5, 1782221477.4479165
  -1.63, -0.01, 5, 1782221477.6063263
  -1.63, -0.01, 5, 1782221477.60854
  -1.63, -0.01, 5, 1782221477.6815681
  -1.63, -0.01, 5, 1782221477.8198462
  -1.63, -0.01, 5, 1782221477.841702
  -1.63, -0.01, 5, 1782221477.9220881
  -1.63, -0.01, 5, 1782221478.0377955
  -1.63, -0.01, 5, 1782221478.080549
  -1.63, -0.01, 5, 1782221478.2601519
  -1.63, -0.01, 5, 1782221478.2605047
  -1.63, -0.01, 5, 1782221478.324377
  -1.63, -0.01, 5, 1782221478.4698892
  -1.63, -0.01, 5, 1782221478.480758
  -1.63, -0.01, 5, 1782221478.6871178
  -1.63, -0.01, 5, 1782221478.6889827
  -1.63, -0.01, 5, 1782221478.7209914
  -1.63, -0.01, 5, 1782221478.8991084
  -1.63, -0.01, 5, 1782221478.8992655
  -1.63, -0.01, 5, 1782221478.9640338
  -1.63, -0.01, 5, 1782221479.1197705
  -1.63, -0.01, 5, 1782221479.119973
  -1.66, -0.01, 5, 1782221479.2033012
  -1.76, -0.01, 5, 1782221479.3321369
  -1.78, -0.01, 5, 1782221479.3641403
  -1.76, -0.01, 5, 1782221479.4443724
  -1.82, -0.01, 5, 1782221479.561632
  -1.84, -0.00, 5, 1782221479.60396
  -2.03, 0.00, 5, 1782221479.7895002
  -2.18, 0.01, 5, 1782221479.7895598
  -2.11, 0.01, 5, 1782221479.842007
  -1.87, -0.01, 5, 1782221479.9976902
  -1.84, -0.01, 5, 1782221480.0086296
  -2.37, 0.03, 5, 1782221480.0820024
  -3.01, 0.07, 5, 1782221480.2213938
  -3.96, 0.15, 5, 1782221480.242968
  -4.95, 0.23, 5, 1782221480.4319098
  -5.38, 0.27, 5, 1782221480.4341443
  -5.40, 0.27, 5, 1782221480.4859555
  -5.40, 0.27, 5, 1782221480.6474917
  -5.46, 0.27, 5, 1782221480.6477695
  -5.51, 0.28, 5, 1782221480.721336
  -5.51, 0.28, 5, 1782221480.872466
  -5.51, 0.28, 5, 1782221480.8832564
  -5.51, 0.28, 5, 1782221480.9741123
  -5.51, 0.28, 5, 1782221481.097878
  -5.51, 0.28, 5, 1782221481.1185665
  -5.51, 0.28, 5, 1782221481.3114264
  5.54, 0.00, 4, 1782221491.5622444
  4.34, 0.01, 4, 1782221491.5623584
  2.18, 0.04, 4, 1782221491.604144
  1.55, 0.05, 4, 1782221491.780476
  1.41, 0.05, 4, 1782221491.7806294
  1.04, 0.05, 4, 1782221491.8448477
  0.74, 0.05, 4, 1782221491.988522
  0.69, 0.05, 4, 1782221492.009582
  0.75, 0.05, 4, 1782221492.2176707
  0.75, 0.05, 4, 1782221492.219724
  0.75, 0.05, 4, 1782221492.2514396
  0.75, 0.05, 4, 1782221492.4205263
  0.75, 0.05, 4, 1782221492.4205823
  0.75, 0.05, 4, 1782221492.4841142
  0.75, 0.05, 4, 1782221492.6415958
  0.75, 0.05, 4, 1782221492.6524858
  0.75, 0.05, 4, 1782221492.7259235
  0.75, 0.05, 4, 1782221492.8572083
  0.75, 0.05, 4, 1782221492.888907
  0.75, 0.05, 4, 1782221493.088574
  0.75, 0.05, 4, 1782221493.0906632
  0.75, 0.05, 4, 1782221493.1335368
  0.75, 0.05, 4, 1782221493.302337
  0.75, 0.05, 4, 1782221493.3025613
  0.75, 0.05, 4, 1782221493.3655505
  0.75, 0.05, 4, 1782221493.5131423
  0.75, 0.05, 4, 1782221493.5241413
  0.75, 0.05, 4, 1782221493.620586
  0.75, 0.05, 4, 1782221493.7308319
  0.75, 0.05, 4, 1782221493.7740042
  0.75, 0.05, 4, 1782221493.94704
  0.75, 0.05, 5, 1782221493.947207
  0.75, 0.05, 5, 1782221494.0102136
  0.75, 0.05, 5, 1782221494.1687703
  0.75, 0.05, 5, 1782221494.1690512
  0.75, 0.05, 5, 1782221494.2524283
  0.75, 0.05, 5, 1782221494.3910575
  0.75, 0.05, 5, 1782221494.4126368
  0.75, 0.05, 5, 1782221494.5981643
  0.75, 0.05, 5, 1782221494.5986154
  0.75, 0.05, 5, 1782221494.6509612
  0.75, 0.05, 5, 1782221494.8017898
  0.75, 0.05, 5, 1782221494.8123906
  0.75, 0.05, 5, 1782221494.88556
  0.75, 0.05, 5, 1782221495.019378
  0.72, 0.05, 5, 1782221495.0510128
  0.66, 0.06, 5, 1782221495.129571
  0.66, 0.06, 5, 1782221495.2452517
  0.66, 0.06, 5, 1782221495.2881198
  0.72, 0.05, 5, 1782221495.4588013
  -2.72, 0.15, 5, 1782221495.4607716
  0.03, 0.00, 4, 1782221508.4768481
  4.50, 0.03, 4, 1782221508.6970696
  2.80, 0.02, 4, 1782221508.6992495
  1.17, 0.05, 4, 1782221508.720515
  0.05, 0.06, 4, 1782221508.795471
  -0.29, 0.07, 4, 1782221508.9134266
  -0.27, 0.07, 4, 1782221508.9563122
  -0.11, 0.07, 4, 1782221509.1287785
  -0.11, 0.07, 4, 1782221509.129369
  -0.48, 0.07, 4, 1782221509.191762
  -0.82, 0.07, 4, 1782221509.350073
  -0.83, 0.07, 4, 1782221509.3503063
  -0.83, 0.07, 4, 1782221509.4438496
  -0.83, 0.07, 4, 1782221509.56262
  -0.83, 0.07, 4, 1782221509.594154
  -0.66, 0.07, 4, 1782221509.7703576
  -0.27, 0.06, 4, 1782221509.770517
  -0.06, 0.06, 4, 1782221509.8343024
  -0.06, 0.06, 4, 1782221510.0033052
  -0.06, 0.06, 4, 1782221510.0036714
  -0.06, 0.06, 4, 1782221510.07654
  -0.06, 0.06, 4, 1782221510.2150297
  -0.06, 0.06, 4, 1782221510.2365532
  -0.06, 0.06, 4, 1782221510.3249097
  -0.06, 0.06, 4, 1782221510.4359727
  -0.06, 0.06, 4, 1782221510.4781892
  -0.06, 0.06, 4, 1782221510.6619034
  -0.06, 0.06, 4, 1782221510.6623476
  -0.06, 0.06, 4, 1782221510.7149692
  -0.10, 0.06, 4, 1782221510.883478
  -0.10, 0.06, 4, 1782221510.8836842
  -0.10, 0.06, 4, 1782221510.9578452
  -0.10, 0.06, 4, 1782221511.0899615
  -0.08, 0.06, 4, 1782221511.1113682
  -0.08, 0.06, 4, 1782221511.1955113
  -0.06, 0.06, 4, 1782221511.3100348
  -0.06, 0.06, 4, 1782221511.3527822
  -0.06, 0.06, 4, 1782221511.5261211
  1.22, 0.02, 4, 1782221511.5287786
  8.83, -0.22, 4, 1782221511.5929158
  10.75, -0.27, 4, 1782221511.7463953
  10.52, -0.26, 4, 1782221511.7570117
  9.96, -0.23, 4, 1782221511.8522897
  9.79, -0.23, 4, 1782221511.9615505
  9.66, -0.22, 4, 1782221511.9941578
  9.66, -0.22, 4, 1782221512.1951919
  9.66, -0.22, 4, 1782221512.1954954
  9.63, -0.22, 4, 1782221512.23754
  9.47, -0.22, 4, 1782221512.4033396
  9.13, -0.21, 4, 1782221512.4035118
  9.04, -0.21, 4, 1782221512.4775357
  9.23, -0.21, 4, 1782221512.622379
  9.42, -0.22, 4, 1782221512.633669
  9.29, -0.21, 4, 1782221512.8288279
  8.97, -0.21, 4, 1782221512.828902
  8.65, -0.21, 4, 1782221512.8819072
  8.28, -0.20, 4, 1782221513.0560431
  7.90, -0.19, 4, 1782221513.0561914
  7.36, -0.17, 4, 1782221513.1190982
  6.97, -0.16, 4, 1782221513.2690501
  6.65, -0.15, 4, 1782221513.3213706
  6.61, -0.15, 4, 1782221513.3528855
  6.69, -0.15, 4, 1782221513.4968507
  6.45, -0.14, 4, 1782221513.5183516
  6.46, -0.14, 4, 1782221513.5927682
  6.54, -0.14, 4, 1782221513.7091928
  6.70, -0.15, 4, 1782221513.7515268
  6.70, -0.15, 4, 1782221513.9227405
  6.89, -0.16, 4, 1782221513.9229507
  7.39, -0.19, 4, 1782221513.9966514
  8.32, -0.23, 4, 1782221514.147533
  10.51, -0.28, 4, 1782221514.1580813
  14.54, -0.37, 4, 1782221514.2432754
  19.99, -0.54, 4, 1782221514.3581202
  26.38, -0.88, 4, 1782221514.3997529
  33.36, -1.47, 4, 1782221514.5830436
  41.13, -2.24, 4, 1782221514.5855584
  49.69, -3.05, 4, 1782221514.6387231
  58.86, -3.83, 4, 1782221514.8061929
  68.64, -4.57, 4, 1782221514.80831
  78.76, -5.19, 4, 1782221514.882042
  89.23, -5.64, 4, 1782221515.0145671
  100.29, -5.78, 4, 1782221515.0361388
  111.58, -5.70, 4, 1782221515.1259518
  123.45, -5.62, 4, 1782221515.2396715
  135.74, -5.66, 4, 1782221515.281762
  148.24, -5.79, 4, 1782221515.4607656
  161.24, -5.91, 4, 1782221515.4654706
  174.15, -5.99, 4, 1782221515.5189965
  187.15, -6.10, 4, 1782221515.7110922
  199.77, -6.16, 4, 1782221515.713596
  212.11, -6.09, 4, 1782221515.755829
  224.34, -5.88, 4, 1782221515.9224668
  236.36, -5.71, 4, 1782221515.9247558
  248.71, -5.58, 4, 1782221515.998396
  261.03, -5.43, 4, 1782221516.1598275
  273.63, -5.19, 4, 1782221516.162437
