Ins Auto Telemetry Data Record
Record Time: 2026-06-22T19:32:59.344397
============================================================

Trajectory Points: 180
Waypoints: 132

Trajectory Points (x, y, mode, timestamp):
  0.00, 0.00, 4, 1782127935.7417772
  0.00, 0.00, 4, 1782127935.7522721
  2.53, 0.05, 4, 1782127935.8359241
  5.37, 0.11, 4, 1782127935.925641
  5.65, 0.11, 4, 1782127935.9928734
  5.89, 0.10, 4, 1782127936.076833
  5.73, 0.10, 4, 1782127936.1642807
  5.50, 0.11, 4, 1782127936.2367127
  5.47, 0.11, 4, 1782127936.3203845
  5.47, 0.11, 4, 1782127936.3957942
  5.47, 0.11, 4, 1782127936.4794445
  5.44, 0.11, 4, 1782127936.5855525
  5.41, 0.11, 4, 1782127936.6412535
  5.41, 0.11, 4, 1782127936.7147067
  5.41, 0.11, 4, 1782127936.8067346
  5.41, 0.11, 4, 1782127936.8803835
  5.41, 0.11, 4, 1782127936.9536467
  5.42, 0.11, 4, 1782127937.0346658
  5.45, 0.11, 4, 1782127937.118895
  5.45, 0.11, 4, 1782127937.1992593
  5.45, 0.11, 4, 1782127937.274055
  5.49, 0.11, 4, 1782127937.35858
  5.52, 0.11, 4, 1782127937.4416215
  5.55, 0.11, 4, 1782127937.5163827
  5.66, 0.11, 4, 1782127937.601233
  6.57, 0.08, 4, 1782127937.6773906
  6.73, 0.08, 4, 1782127937.7609818
  6.81, 0.07, 4, 1782127937.8690624
  6.48, 0.09, 4, 1782127937.9118843
  5.97, 0.13, 4, 1782127937.9951127
  5.59, 0.15, 4, 1782127938.0893753
  5.55, 0.15, 4, 1782127938.1520855
  5.66, 0.15, 4, 1782127938.2363803
  5.71, 0.15, 4, 1782127938.3172255
  5.82, 0.14, 4, 1782127938.4002216
  5.82, 0.14, 4, 1782127938.4736757
  5.60, 0.15, 4, 1782127938.5579588
  5.14, 0.17, 4, 1782127938.641508
  5.04, 0.18, 4, 1782127938.7237175
  5.22, 0.17, 4, 1782127938.7970521
  5.79, 0.14, 4, 1782127938.8807225
  6.86, 0.09, 4, 1782127938.9540813
  8.72, -0.02, 4, 1782127939.0375342
  11.46, -0.28, 4, 1782127939.1168082
  15.27, -0.81, 4, 1782127939.2022161
  20.41, -1.61, 4, 1782127939.2761154
  26.24, -2.48, 4, 1782127939.3672442
  31.58, -3.29, 4, 1782127939.4405751
  36.80, -4.12, 5, 1782127939.516826
  41.90, -4.93, 5, 1782127939.5944607
  46.58, -5.65, 5, 1782127939.6791878
  51.68, -6.39, 5, 1782127939.7510712
