Ins Auto Telemetry Data Record
Record Time: 2026-06-22T19:17:38.947046
============================================================

Trajectory Points: 453
Waypoints: 211

Trajectory Points (x, y, mode, timestamp):
  0.00, 0.00, 4, 1782127013.6396966
  -0.08, -0.00, 4, 1782127013.6550167
  -4.53, 0.02, 4, 1782127013.7419531
  -11.55, -0.00, 4, 1782127013.8139548
  -12.50, -0.01, 4, 1782127013.8989959
  -11.81, -0.00, 4, 1782127013.9830961
  -11.02, 0.00, 4, 1782127014.0574446
  -10.08, 0.01, 4, 1782127014.13775
  -9.65, 0.01, 4, 1782127014.222279
  -9.49, 0.01, 4, 1782127014.322979
  -9.39, 0.02, 4, 1782127014.376014
  -9.38, 0.02, 4, 1782127014.4597125
  -9.38, 0.02, 4, 1782127014.5452542
  -9.38, 0.02, 4, 1782127014.6190515
  -9.23, 0.02, 4, 1782127014.702255
  -8.77, 0.02, 4, 1782127014.7778826
  -8.43, 0.03, 4, 1782127014.861305
  -8.45, 0.03, 4, 1782127014.934606
  -8.74, 0.02, 4, 1782127015.0233088
  -9.06, 0.02, 4, 1782127015.0966659
  -9.38, 0.02, 4, 1782127015.1854556
  -9.46, 0.01, 4, 1782127015.2590528
  -9.49, 0.01, 4, 1782127015.3426754
  -9.47, 0.01, 4, 1782127015.41774
  -9.47, 0.01, 4, 1782127015.5012274
  -9.47, 0.01, 4, 1782127015.5973482
  -9.50, 0.01, 4, 1782127015.6601803
  -9.50, 0.01, 4, 1782127015.74442
  -9.50, 0.01, 4, 1782127015.821887
  -9.50, 0.01, 4, 1782127015.896119
  -9.50, 0.01, 4, 1782127015.98032
  -9.46, 0.01, 4, 1782127016.063506
  -9.42, 0.01, 4, 1782127016.1364453
  -9.41, 0.01, 4, 1782127016.2326918
  -9.41, 0.01, 4, 1782127016.2956958
  -9.36, 0.01, 4, 1782127016.3805528
  -9.33, 0.01, 4, 1782127016.4616835
  -9.33, 0.01, 4, 1782127016.5469737
  -9.33, 0.01, 4, 1782127016.6311755
  -9.31, 0.01, 4, 1782127016.6975598
  -9.26, 0.01, 4, 1782127016.781354
