type,x,y,ins_mode,dis_ins,yaw_ins,n,target,flag_save,comment
I,-2514.9,158.7,0,0.0,0.0,0,1,0,
I,-2513.3,158.5,0,0.0,0.0,0,1,0,
I,-2513.6,158.6,0,0.0,0.0,0,1,0,
I,-2514.3,158.6,0,0.0,0.0,0,1,0,
I,-2514.3,158.6,0,0.0,0.0,0,1,0,
I,-2514.3,158.6,0,0.0,0.0,0,1,0,
I,-2519.9,159.2,0,0.0,0.0,0,1,0,
I,-2535.5,160.6,0,0.0,0.0,0,1,0,
I,-2558.8,162.4,0,0.0,0.0,0,1,0,
I,-2588.0,164.8,0,0.0,0.0,0,1,0,
I,-2622.4,167.7,0,0.0,0.0,0,1,0,
I,-2660.7,170.8,0,0.0,0.0,0,1,0,
I,-2702.2,174.1,0,0.0,0.0,0,1,0,
I,-2746.1,177.6,0,0.0,0.0,0,1,0,
I,-2790.8,181.4,0,0.0,0.0,0,1,0,
I,-2835.2,185.2,0,0.0,0.0,0,1,0,
I,-2878.3,189.0,0,0.0,0.0,0,1,0,
I,-2920.0,192.6,0,0.0,0.0,0,1,0,
I,-2960.5,196.2,0,0.0,0.0,0,1,0,
I,-2999.7,199.6,0,0.0,0.0,0,1,0,
I,-3038.0,202.9,0,0.0,0.0,0,1,0,
I,-3075.5,206.1,0,0.0,0.0,0,1,0,
I,-3112.4,209.2,0,0.0,0.0,0,1,0,
I,-3148.3,212.2,0,0.0,0.0,0,1,0,
I,-3183.3,215.2,0,0.0,0.0,0,1,0,
I,-3217.6,218.1,0,0.0,0.0,0,1,0,
I,-3251.3,221.0,0,0.0,0.0,0,1,0,
I,-3284.2,223.9,0,0.0,0.0,0,1,0,
I,-3316.2,226.8,0,0.0,0.0,0,1,0,
I,-3347.2,229.5,0,0.0,0.0,0,1,0,
I,-3377.2,232.2,0,0.0,0.0,0,1,0,
I,-3406.0,234.7,0,0.0,0.0,0,1,0,
I,-3433.3,237.1,0,0.0,0.0,0,1,0,
I,-3459.1,239.3,0,0.0,0.0,0,1,0,
I,-3483.6,241.5,0,0.0,0.0,0,1,0,
I,-3507.4,243.8,0,0.0,0.0,0,1,0,
I,-3530.1,246.0,0,0.0,0.0,0,1,0,
I,-3552.1,248.2,0,0.0,0.0,0,1,0,
I,-3573.3,250.2,0,0.0,0.0,0,1,0,
I,-3593.8,252.1,0,0.0,0.0,0,1,0,
I,-3613.6,253.9,0,0.0,0.0,0,1,0,
I,-3632.4,255.6,0,0.0,0.0,0,1,0,
I,-3650.2,257.2,0,0.0,0.0,0,1,0,
I,-3667.1,258.7,0,0.0,0.0,0,1,0,
I,-3683.1,260.2,0,0.0,0.0,0,1,0,
I,-3698.7,261.7,0,0.0,0.0,0,1,0,
I,-3714.8,263.3,0,0.0,0.0,0,1,0,
